n,principal_ideal_bitmasks,h_coefficients
5,1;2;6;9;23,1;10;29;29;10;1
5,1;2;6;9;25,1;9;25;25;9;1
5,1;2;6;9;27,1;10;29;29;10;1
5,1;2;6;9;31,1;11;33;33;11;1
5,1;2;6;10;16,1;7;16;16;7;1
5,1;2;6;10;17,1;8;21;21;8;1
5,1;2;6;10;18,1;8;19;19;8;1
5,1;2;6;10;19,1;9;24;24;9;1
5,1;2;6;10;22,1;9;23;23;9;1
5,1;2;6;10;23,1;10;28;28;10;1
5,1;2;6;10;26,1;9;23;23;9;1
5,1;2;6;10;27,1;10;28;28;10;1
5,1;2;6;10;30,1;10;27;27;10;1
5,1;2;6;10;31,1;11;32;32;11;1
5,1;2;6;11;16,1;8;20;20;8;1
5,1;2;6;11;17,1;9;25;25;9;1
5,1;2;6;11;18,1;9;24;24;9;1
5,1;2;6;11;19,1;10;28;28;10;1
5,1;2;6;11;22,1;10;29;29;10;1
5,1;2;6;11;23,1;11;33;33;11;1
5,1;2;6;11;27,1;11;32;32;11;1
5,1;2;6;11;31,1;12;37;37;12;1
5,1;2;6;14;16,1;8;19;19;8;1
5,1;2;6;14;17,1;9;25;25;9;1
5,1;2;6;14;18,1;9;23;23;9;1
5,1;2;6;14;19,1;10;29;29;10;1
5,1;2;6;14;22,1;10;26;26;10;1
5,1;2;6;14;23,1;11;32;32;11;1
5,1;2;6;14;30,1;11;30;30;11;1
5,1;2;6;14;31,1;12;36;36;12;1
5,1;2;6;15;16,1;9;23;23;9;1
5,1;2;6;15;17,1;10;29;29;10;1
5,1;2;6;15;18,1;10;28;28;10;1
5,1;2;6;15;19,1;11;33;33;11;1
5,1;2;6;15;22,1;11;32;32;11;1
5,1;2;6;15;23,1;12;36;36;12;1
5,1;2;6;15;31,1;13;40;40;13;1
5,1;2;6;24;16,1;7;17;17;7;1
5,1;2;6;24;24,1;8;21;21;8;1
5,1;2;6;25;16,1;8;21;21;8;1
