n,primitive_orbits,B_n,proved_divisor
173,242266556779733928867519640296296709222603101392062360933396714297523028618174606792663734431479855004690098271077503,8094709371503689694527703575004066598369578047781829026475883400632263978688716856315404271157735139987640692007,29929
174,1190697056780367695374418441863726623357160141054528156218656624080157019678608522172320627118665765035920239995746870,235968501145534620565679437547310072008949691053216043642222874371810745080976718623131317304531463542592199761345/6,2523
175,5852353990881115643609828363073026359164949325190464111635033296177920414829515092700585381689021056789636640027397500,191097273171628265913790313896262085197222835108260052624817413752748421708718860169815032871478238589049359674364,30625
176,28766110468231199508592463423529489384487882449139268289518043399952829727276751513971480156570840194873320522628737024,928658008401058868433382729323653453786411494354960882280412041579055711753510831416951193071114417448131473483624,121
177,141401074295332285439028101139068004372050485151876803189540892669199481876241103239212193051116731835310763614217297966,4513424440465137267037827608256503698555666799191701081730693372568530175755405638201416995471184264908256363567854,10443
178,695096411056769650626595979783472816884234803664630333123209147912918865162322212619707118717075202715887932128079861638,43876809181717564109745990391583942487327029646801561237420095184504410122605871267498240040214316545631102899133939/2,7921
179,3417101842972168401117256092289094971829615440193757178824970225052289538529091801321355286982822800046704706234456858721,106647790111799519400682128906372927556244044823624642764737998971701555461099584948077628257008919822936384826767481,32041
180,16799297063167516728394269650827286040329794765751868776922573319358563991964757535159639604614698119207409346559375355200,1555490468811807104480950893595119077808314330162210071937275307348015184441181253255522185612472048074760124681423644/3,675
181,82593217098451530515809102564553356166934800939640601672318521378029615329776272790852843389290058664907115146880064032267,2521083516939395333347855760341667109274283475462916323443073208327878127339711021972859295787370918619917436796192547,32761
182,406085535120412143713111926458197987677623210731211072930873418074846801454436441102150232262692351557521588677117253704554,24519112131409983318023905715384493882237846318754442273328910643330926304458183860774678919375217459094408204149091517/2,8281
183,1996688443725177629883975751541774735466454778958282565282166817544789617687508352509417341961418039859691474613246992721142,178866652667309650621157014381597665095982690939557696433052657667722800115337127341164323386313539358567721455992743234/3,11163
184,9817988556028458532423292310502271340241846857045110821178017488042897426473981296373364718150849396015469199747334850325088,579985146268221794212151010781088807906536321895386981402293093575312938709474320437935061327436755435696431932144071971/2,529
185,48278521437028675642451129591601527574918410090568246783087913530690699107973412436065798564462464061447974741500026332306025,1410621517517273210882428914290767788894621185991767619666557006009954685404628559125370301372168416696799846355004421689,34225
186,237412956201343069814743628481295833214231574462033192831558582997304976683527865544217113264895396834804693390959533004616642,41174636871547532052504965050519568715614216868198611313138845472997741360306601724630092484373117730628632221810532952587/6,2883
187,1167545143925187528903981899017560315533932915535052938461672528567995837058252959386024569504469532931841843177495884763250106,33388004916502831905515796820542775473531782880123907988837900099173434672374187405588508950912795130882834601432579849674,34969
188,5741978456983912427482284449667005509746306738106349613670435338495113040196627744884489000760254250449085163630416708760725236,649839119169750161552997334729176721338423125634489544326667648086816776844344470901368153096452495523889221778000985599901/4,2209
189,28240205267525074249438801666102846797266829124632687235072213231223542608987643560369844667967328377439613575456886256568426794,2371731356976994561975208000848479616802454784969571448313782920233773629712576094765251084905293388547880538797084593648142/3,11907
190,138896837869271694633751125699918563081649579753468003855559641908110974000823791953620571711057710787835961952292760063356788500,3847557835713897358275654451521289836056775062422936394890848806318863545729190912842675116649798082765539112251877010065285,9025
191,683179610386670546541533942566793386390477244761222087217177816675685984011612699632134977373510705487467670677713437452785291185,18726997899911475741935087924311104037457231017823581788250810467796551191349269472660699470231372645691391976034468283566385,36481
192,3360433253871901179985669326076416527371150346514085603604405762479346544608241727463425880283075074651771297389746378776188846080,91157586096785513779993200034625014305858028062990603396386875067256579443582946166000051005942791738600566877977061056211720,3
193,16530017209308329208879242042618206588858795176275453124863686932125417454365481989853863067360727966029121128661704119456593996547,443770764565715299977965637805530526694912485604323689894055865449419244929138553782755592562504442160302857221984593397315203,37249
194,81314652411609663229323332711254124422872436541845823682289660639972176736705863321060140606574824066813635592760698504769465507334,4321110235498441026109221634140404103670551415763940040508537604419820211324575583008828813188161551005082133742198878986580163/2,9409
195,400019908984672000298885905004587880842521068598200130242497781035336750463155292567308722790149363999285410370811899304587227264550,31559756132912978327328276528961568508285685885459576350492921580697179523720338664087473198433874871738493914856954580243568226/3,12675
196,1967938486828260061170580818253448439265923799911151408161960532790291488060275041998356003009447354594703803663249707171458495437664,51227053488865578435302499433919420014210844437503941278684936817739782592156264108661911781795276827225734164495254768103355254,2401
197,9681850526973772212606903353460158471005524661798787737224161161982862894467597731523361972467242489571002189019515129030192314018067,249474362312189755278592680910617600840153692746496630606925227704472233102311261086947923741071465113015078693589505759751405963,38809
198,47634542442951751876625016236137399135564703577061498040968354409973330617085270467441412767000024873817689210979316363381643261718864,3645128745251894082998547309162641501038009150372015460741380043615957347496577170756153410391798658847389746784459470720970558748/3,3267
199,234370109876868120271439174296108973000623356906128589490967216470207945504122622256391597055771593618836521890854142801978106394101601,5918287666393982987082123539711344991303839723899108342995561134067522171261398001474498044387050670913272944896698133935458862001,39601
200,1153184733351255221293320354150880417892890871697015033194677372596833852794072974629161966121128569550382123347559752047569178189860000,57659236667562761064666017707544020894644543584850751659733868629841692639703648731458098306056428477519106167377987602378458909493/2,625
201,5674293764825461773047449316401544939276296135196823182016432691121555821286154040428316460780435248064311316608907771663511843359560986,421348018476680906887016359723883934007299037290920263014511969341468465232505683554489972583384216831091654905243021583389904459758/3,13467
202,27921635756267060606096530486615316663782548090212301852753257352457117082076952906785937301889894040979376214355703717985004568755132078,1368573461242381168811711130605593405733876487119512883675779695738511767575578517144688623756979415791558485165949598960151189528239/2,10201
203,137399720504760857311467121765768757123823003381011772084656994528455251693482516806463444908794460401994975942505435452543923314212513249,3334216324219487425355313687926636344580625673542473054057535842375579404826191288467651360353186449610400056844510554794921578155561,41209
