profile,n,sign
classical Thue-Morse,78,1
classical Thue-Morse,79,-1
classical Thue-Morse,80,1
classical Thue-Morse,81,-1
classical Thue-Morse,82,-1
classical Thue-Morse,83,1
classical Thue-Morse,84,-1
classical Thue-Morse,85,1
classical Thue-Morse,86,1
classical Thue-Morse,87,-1
classical Thue-Morse,88,-1
classical Thue-Morse,89,1
classical Thue-Morse,90,1
classical Thue-Morse,91,-1
classical Thue-Morse,92,1
classical Thue-Morse,93,-1
classical Thue-Morse,94,-1
classical Thue-Morse,95,1
classical Thue-Morse,96,1
classical Thue-Morse,97,-1
classical Thue-Morse,98,-1
classical Thue-Morse,99,1
classical Thue-Morse,100,-1
classical Thue-Morse,101,1
classical Thue-Morse,102,1
classical Thue-Morse,103,-1
classical Thue-Morse,104,-1
classical Thue-Morse,105,1
classical Thue-Morse,106,1
classical Thue-Morse,107,-1
classical Thue-Morse,108,1
classical Thue-Morse,109,-1
classical Thue-Morse,110,-1
classical Thue-Morse,111,1
classical Thue-Morse,112,-1
classical Thue-Morse,113,1
classical Thue-Morse,114,1
classical Thue-Morse,115,-1
classical Thue-Morse,116,1
classical Thue-Morse,117,-1
classical Thue-Morse,118,-1
classical Thue-Morse,119,1
classical Thue-Morse,120,1
classical Thue-Morse,121,-1
classical Thue-Morse,122,-1
classical Thue-Morse,123,1
classical Thue-Morse,124,-1
classical Thue-Morse,125,1
classical Thue-Morse,126,1
classical Thue-Morse,127,-1
eventually even exponent,0,1
eventually even exponent,1,-1
eventually even exponent,2,1
eventually even exponent,3,-1
eventually even exponent,4,1
eventually even exponent,5,-1
eventually even exponent,6,1
eventually even exponent,7,-1
eventually even exponent,8,1
eventually even exponent,9,-1
eventually even exponent,10,1
eventually even exponent,11,-1
eventually even exponent,12,1
eventually even exponent,13,-1
eventually even exponent,14,1
eventually even exponent,15,-1
eventually even exponent,16,1
eventually even exponent,17,-1
eventually even exponent,18,1
eventually even exponent,19,-1
eventually even exponent,20,1
eventually even exponent,21,-1
eventually even exponent,22,1
eventually even exponent,23,-1
eventually even exponent,24,1
eventually even exponent,25,-1
eventually even exponent,26,1
eventually even exponent,27,-1
eventually even exponent,28,1
eventually even exponent,29,-1
eventually even exponent,30,1
eventually even exponent,31,-1
eventually even exponent,32,1
eventually even exponent,33,-1
eventually even exponent,34,1
eventually even exponent,35,-1
eventually even exponent,36,1
eventually even exponent,37,-1
eventually even exponent,38,1
eventually even exponent,39,-1
eventually even exponent,40,1
eventually even exponent,41,-1
eventually even exponent,42,1
eventually even exponent,43,-1
eventually even exponent,44,1
eventually even exponent,45,-1
eventually even exponent,46,1
eventually even exponent,47,-1
eventually even exponent,48,1
eventually even exponent,49,-1
eventually even exponent,50,1
