theta,Q_direct,Q_fourier_4,Q_first_harmonic,abs_error,tail_bound
0.268482490272,-1.64044569145126234875826276875,-1.6404456914995859024432947862,-1.64044569150273651653978338398,4.8323553685e-11,2.62990975193e-56
0.272373540856,-1.64044576611901582915172669501,-1.64044576616720922639345662856,-1.64044576617038097591820935999,4.81933972417e-11,2.64413418703e-56
0.27626459144,-1.64044583895081359246030906286,-1.64044583899887718382690587547,-1.64044583900206248709751615581,4.80635913666e-11,2.65843555807e-56
0.280155642023,-1.64044590990312531844052319092,-1.64044590995105945355592259647,-1.64044590995425069649103663238,4.79341351154e-11,2.67281428116e-56
0.284046692607,-1.64044597893354401230956526513,-1.64044597898134903985601296208,-1.64044597898453859417585641136,4.78050275464e-11,2.68727077469e-56
0.287937743191,-1.64044604600081135071471810779,-1.64044604604848761843530616549,-1.64044604605166785989615238166,4.76762677206e-11,2.70180545928e-56
0.291828793774,-1.640446111064842341199713477,-1.64044611111239019590090987916,-1.6404461111155535225199025351,4.75478547012e-11,2.71641875785e-56
0.295719844358,-1.64044617408674928040673356199,-1.64044617413416906796090495575,-1.64044617413730791818767089002,4.74197875542e-11,2.73111109561e-56
0.299610894942,-1.6404462350288649967303512919,-1.64044623507615706207827892132,-1.64044623507926393286989422399,4.72920653479e-11,2.74588290005e-56
0.303501945525,-1.64044629385476536349476875413,-1.64044629390193005064815762835,-1.64044629390499751540426100107,4.71646871534e-11,2.76073460098e-56
0.307392996109,-1.64044635052929106921898986371,-1.64044635057632872126297117073,-1.64044635057934944757815288247,4.7037652044e-11,2.77566663055e-56
0.311284046693,-1.64044640501856863196047571484,-1.64044640506547959105610248378,-1.64044640506844635824713400477,4.69109590956e-11,2.79067942323e-56
0.315175097276,-1.64044645729003064516152958853,-1.64044645733681525254826563685,-1.64044645733972096891427324773,4.67846073867e-11,2.80577341584e-56
0.31906614786,-1.6404465073124352429083223354,-1.64044650735909383890652451451,-1.64044650736193155868084853433,4.66585959982e-11,2.82094904757e-56
0.322957198444,-1.64044655505588477297001708003,-1.64044655510241769698341082582,-1.64044655510518063693662907155,4.65329240134e-11,2.83620675998e-56
0.326848249027,-1.64044660049184366644255082292,-1.64044660053825125696069905363,-1.64044660054093281261512700061,4.64075905181e-11,2.85154699703e-56
0.330739299611,-1.64044664359315549333809807821,-1.64044664363943808793886342551,-1.64044664364203184935577221123,4.62825946008e-11,2.86697020506e-56
0.334630350195,-1.64044668433405919390289318369,-1.64044668438021712925489360112,-1.64044668438271689635670840237,4.6157935352e-11,2.88247683285e-56
0.338521400778,-1.64044672269020447597428903106,-1.64044672273623808783934679239,-1.64044672273863788523019964938,4.60336118651e-11,2.89806733158e-56
0.342412451362,-1.64044675863866636917492366367,-1.64044675868457599241050775533,-1.64044675868687008365971801844,4.59096232356e-11,2.91374215489e-56
0.346303501946,-1.64044679215795892723550057979,-1.64044679220374489579716251846,-1.64044679220592779715150190783,4.57859685617e-11,2.92950175887e-56
0.350194552529,-1.64044682322804807025995877191,-1.6404468232737107172037618668,-1.64044682327577721069572653867,4.56626469438e-11,2.94534660208e-56
0.354085603113,-1.64044685183036355926061655499,-1.64044685187590321674555861621,-1.64044685187784836266631437313,4.55396574849e-11,2.96127714554e-56
0.357976653696,-1.64044687794781009579438759295,-1.6404468779932270950848171297,-1.64044687799504624379200261301,4.54169992904e-11,2.97729385279e-56
0.36186770428,-1.64044690156477754007898338498,-1.64044690161007221154700927913,-1.64044690161176101457917185834,4.5294671468e-11,2.99339718986e-56
0.365758754864,-1.64044692266715024146677891938,-1.64044692271232291459467361788,-1.64044692271387733506577014937,4.51726731279e-11,3.00958762531e-56
0.369649805447,-1.64044694124231547570647419589,-1.64044694128736647908907043405,-1.64044694128878280133818594157,4.50510033826e-11,3.02586563023e-56
0.373540856031,-1.64044695727917098394858763309,-1.64044695732410064529566869313,-1.64044695732537548376888631567,4.49296613471e-11,3.04223167825e-56
0.377431906615,-1.64044697076813160898293233342,-1.64044697081294025512161586836,-1.6404469708140705624648068927,4.48086461387e-11,3.05868624559e-56
0.381322957198,-1.64044698170113502474302721215,-1.64044698174582298162014265438,-1.64044698174680605596333163231,4.46879568771e-11,3.075229811e-56
0.385214007782,-1.64044699007164655565287899981,-1.64044699011621414833733855567,-1.64044699011704763975323092112,4.45675926845e-11,3.09186285586e-56
0.389105058366,-1.64044699587466308293030985467,-1.64044699591911063561547312779,-1.64044699591979255173670683959,4.44475526852e-11,3.10858586414e-56
