alpha,beta,m,r,n,base_exponent,predicted_bit,actual_valuation
-4,-1,9,4,144,9,0,12
-4,-1,9,5,288,12,0,15
-4,-1,9,6,576,15,0,18
-4,-1,9,7,1152,18,0,21
-4,-1,11,2,44,3,0,8
-4,-1,11,3,88,6,0,10
-4,-1,11,4,176,9,0,13
-4,-1,11,5,352,12,0,16
-4,-1,11,6,704,15,0,19
-4,-1,11,7,1408,18,0,22
-4,-1,13,2,52,3,0,5
-4,-1,13,3,104,6,0,9
-4,-1,13,4,208,9,0,16
-4,-1,13,5,416,12,0,19
-4,-1,13,6,832,15,0,22
-4,-1,13,7,1664,18,0,25
-4,-1,15,2,60,3,0,11
-4,-1,15,3,120,6,0,13
-4,-1,15,4,240,9,0,16
-4,-1,15,5,480,12,0,19
-4,-1,15,6,960,15,0,22
-4,-1,15,7,1920,18,0,25
-4,0,1,2,4,3,0,8
-4,0,1,3,8,6,0,11
-4,0,1,4,16,9,0,14
-4,0,1,5,32,12,0,17
-4,0,1,6,64,15,0,20
-4,0,1,7,128,18,0,23
-4,0,3,2,12,3,0,8
