x,estimated_G,estimated_G_at_1_minus_x,antisymmetry_residual,samples,digits,q_step
0.745,0.33499999999999641,-0.32506666666666656,0.0099333333333298524,1500000,32,0.005
0.75,0.31679999999999486,-0.31706666666666689,-0.00026666666667202188,1500000,32,0.005
0.755,0.31846666666666135,-0.30933333333333229,0.0091333333333290523,1500000,32,0.005
0.76000000000000001,0.29953333333332388,-0.30673333333333314,-0.0072000000000092546,1500000,32,0.005
0.76500000000000001,0.284266666666666,-0.28880000000000017,-0.0045333333333341663,1500000,32,0.005
0.77000000000000002,0.27880000000000127,-0.28546666666666648,-0.0066666666666652108,1500000,32,0.005
0.77500000000000002,0.26880000000000237,-0.27399999999999991,-0.0051999999999975399,1500000,32,0.005
0.78000000000000003,0.25819999999999732,-0.25673333333333309,0.0014666666666642292,1500000,32,0.005
0.78500000000000003,0.2438666666666589,-0.2394666666666663,0.0043999999999926043,1500000,32,0.005
0.79000000000000004,0.23413333333333064,-0.2325333333333339,0.0015999999999967429,1500000,32,0.005
0.79500000000000004,0.21953333333333269,-0.22033333333333349,-0.00080000000000080007,1500000,32,0.005
0.80000000000000004,0.20573333333333554,-0.20626666666666674,-0.00053333333333119293,1500000,32,0.005
0.80500000000000005,0.1883333333333348,-0.19220000000000001,-0.0038666666666652139,1500000,32,0.005
0.81000000000000005,0.18060000000000853,-0.17640000000000017,0.0042000000000083637,1500000,32,0.005
0.81500000000000006,0.16800000000000148,-0.16900000000000004,-0.0009999999999985576,1500000,32,0.005
0.82000000000000006,0.15966666666666907,-0.15553333333333355,0.0041333333333355149,1500000,32,0.005
0.82500000000000007,0.14653333333333185,-0.13759999999999986,0.0089333333333319886,1500000,32,0.005
0.83000000000000007,0.12920000000000709,-0.12633333333333333,0.0028666666666737617,1500000,32,0.005
0.83500000000000008,0.11579999999999924,-0.1143333333333333,0.0014666666666659361,1500000,32,0.005
0.84000000000000008,0.10839999999999739,-0.10293333333333335,0.0054666666666640384,1500000,32,0.005
0.84499999999999997,0.091066666666672624,-0.093866666666666751,-0.0027999999999941266,1500000,32,0.005
0.84999999999999998,0.083933333333341409,-0.088866666666666608,-0.0049333333333251989,1500000,32,0.005
0.85499999999999998,0.073999999999996291,-0.072866666666666649,0.0011333333333296419,1500000,32,0.005
0.85999999999999999,0.067533333333325007,-0.067933333333333387,-0.00040000000000837976,1500000,32,0.005
0.86499999999999999,0.059066666666673928,-0.058466666666666646,0.00060000000000728221,1500000,32,0.005
0.87,0.052066666666661376,-0.049666666666666692,0.0023999999999946842,1500000,32,0.005
0.875,0.043000000000004146,-0.042799999999999998,0.00020000000000414825,1500000,32,0.005
0.88,0.036400000000003097,-0.037000000000000012,-0.0005999999999969155,1500000,32,0.005
0.88500000000000001,0.034333333333325111,-0.030066666666666651,0.0042666666666584599,1500000,32,0.005
0.89000000000000001,0.026999999999999247,-0.02459999999999999,0.0023999999999992569,1500000,32,0.005
0.89500000000000002,0.022333333333335315,-0.021666666666666664,0.00066666666666865063,1500000,32,0.005
0.90000000000000002,0.015666666666669382,-0.016866666666666679,-0.001199999999997297,1500000,32,0.005
0.90500000000000003,0.012466666666666182,-0.014800000000000002,-0.0023333333333338206,1500000,32,0.005
0.91000000000000003,0.010133333333328665,-0.010133333333333326,-4.6612019799496807e-15,1500000,32,0.005
0.91500000000000004,0.0091333333333332156,-0.008466666666666664,0.00066666666666655161,1500000,32,0.005
0.92000000000000004,0.0062666666666655324,-0.0061333333333333327,0.00013333333333219975,1500000,32,0.005
0.92500000000000004,0.0054666666666647323,-0.0044000000000000011,0.0010666666666647312,1500000,32,0.005
0.93000000000000005,0.0029999999999974492,-0.0031333333333333326,-0.00013333333333588344,1500000,32,0.005
0.93500000000000005,0.0024000000000024002,-0.0014000000000000002,0.0010000000000024,1500000,32,0.005
0.94000000000000006,0.0012000000000012001,-0.0013999999999999993,-0.00019999999999879923,1500000,32,0.005
0.94500000000000006,0.00086666666666568304,-0.0008666666666666663,-9.8326295022710397e-16,1500000,32,0.005
0.95000000000000007,0.00080000000000080007,-0.00046666666666666672,0.00033333333333413335,1500000,32,0.005
0.95500000000000007,0.00026666666665953187,-6.6666666666666643e-05,0.00019999999999286523,1500000,32,0.005
0.96000000000000008,0.00033333333332441484,0,0.00033333333332441484,1500000,32,0.005
0.96500000000000008,0,0,0,1500000,32,0.005
0.96999999999999997,0,0,0,1500000,32,0.005
0.97499999999999998,0,0,0,1500000,32,0.005
0.97999999999999998,0,0,0,1500000,32,0.005
0.98499999999999999,0,0,0,1500000,32,0.005
0.98999999999999999,0,0,0,1500000,32,0.005
