kind,r,n,row_sum
cycle,7,13,224089932929023431730399585737125847146852251664767792676884747844374116403818711651557118579807197488507546949541888000
cycle,7,14,159436425277635715749108998449969349912860495091420284355199267237530691231748338390361282916065999889729278412131229002612088832000
cycle,7,15,174186644263228959469620852092644586782059517611434013805773742269195214109675515745748697713938578370476948687918898148984494556256487178240000
cycle,7,16,283968660393059537853177742672254775111524627542006449183390176458904684999252153351531272732592186433710828360929958228698849791556470930342406965002240000
cycle,7,17,673716844800115642121327961180712335236011092026483444134994015587169692352649244747343884736837816264793449406142612760686529277991937086334581476925480937675489280000
cycle,7,18,2275310456324648630448206129106990508040034111153653867983157842839883046758983256139049519194994384286398735381534715061365270490941056204556509318912811161373178235738401341440000
cycle,7,19,10725872809706487637054833343666488376387432060830003617834802228687054006781009328965523666322831828349205740342093246160149796311210605594474955179436186170047463645393266343973622497935360000
cycle,7,20,69346504004376142723337843730360420498363186333820313001600849767125166274771656059819096399490132327671278034773549918554252182096950951902742003003138489004169023011835426362435691328251147405570867200000
cycle,7,21,605273160170958968281859395439085311661551608791469656639335481261960336855044281131164610170681256705315072005546527859652839158339753729332755076946425706252639266246237399420675228602433915332962455916303378022400000
cycle,7,22,7030765697455858060818220993763234162717605542846603070715615838252509008642491801557807705056870190385463542970281439817924462584348349731502034243587279392821387628306249396725774804658298376691584966412468262299641027310387200000
