kind,r,n,row_sum
cycle,3,11,1549837281410042899880384
cycle,3,12,1847038220117812717765734976
cycle,3,13,2600173611168452852875569483392
cycle,3,14,4268821688302789183556900257734016
cycle,3,15,8084029519225574139202105617156295424
cycle,3,16,17491672744128467391719346630675355886848
cycle,3,17,42884800927847685334217511330589116877935104
cycle,3,18,118264362644170037880339453849498706751377071616
cycle,3,19,364457415327856506770791101865074905854216240888832
cycle,3,20,1247798084979274583590909532213409283217621176567776256
cycle,3,21,4721307441010867463485618854460675124406372709928330799104
cycle,3,22,19648703529410191008580348468403252355145553449283622661101568
cycle,3,23,89553002936740568892660244910392166121672206075642059680747106304
cycle,3,24,445230932547235453649816010427012174635367168985078148328010995388416
cycle,3,25,2405894724237934797729416154350234111958342884693252900674491018425802752
cycle,3,26,14083382798764603683171135124293536452871560733366773670298685023743164604416
cycle,3,27,89030875872803974682787580734096787624125009137166169402378167117125718918938624
cycle,3,28,606095051820293771469039877257726327034890605422344477338591164273060982423062724608
cycle,3,29,4431581195065873989896688260099944237518727409192567077988948955976839229710151110262784
cycle,3,30,34715641680325936031441860221579040954663729273747778217559578657380514759799395059764658176
cycle,4,0,1
cycle,4,1,6
cycle,4,2,1284
cycle,4,3,1265664
cycle,4,4,3444545376
cycle,4,5,19985153803056
cycle,4,6,212054166217509984
cycle,4,7,3717578956786179986304
cycle,4,8,100181294022033596923998336
cycle,4,9,3931588664911164670748910003456
cycle,4,10,215472669083271115136251599695480064
cycle,4,11,15948051014358469967945155270943145444864
cycle,4,12,1551028305362270294530559489143119437045154816
cycle,4,13,193741762977511408332452159229154667580903927822336
cycle,4,14,30488869721209519379743120710997071822201987636475060224
cycle,4,15,5945615684737889923030063594838810488475178995585599762796544
cycle,4,16,1416353690228462456285779383576633768015180863544545125276491964416
cycle,4,17,407030249211250376114181271979422454680225117755979434056381440647069696
cycle,4,18,139560801650076767887948577395032244025555068444779243697984046437308728868864
cycle,4,19,56535039692147219239544278906299810994567217300566041879009081947240355808816594944
cycle,4,20,26820976595650711381841994579452187626516924683188967049150702907405836103660595517915136
cycle,4,21,14784315734159363891644610031557986206754232064431264410419063762711940389782388897678683406336
cycle,4,22,9401389538242269463903631866689192434695424080836245173421552703677663310005133522549843030313795584
cycle,4,23,6852106060740708228410141274922646685303510389545939525135380104844027474856608447417336876174701299236864
cycle,4,24,5690101992101636873488924614475931502358610249240629990865952094165043523481338283538609518265426066210109259776
cycle,4,25,5354484435967117585109747863048609104997105881242023723661985568340699248935877078655902983483367301726737648353017856
cycle,4,26,5681247736791722747304616825147083405735803306665041340994467517480775329328026743985257606809096602954030871871025194205184
cycle,4,27,6765382606042844073074065747537182953503714279751263971096745611058174634172369251686233838253007884788480217093778334220292194304
cycle,4,28,9003396150054889440770699439850664190426951881835978913456503233277948185899657009116233106692836264495047052794965873969217090078375936
cycle,4,29,13337095252193161983306505660920838812634901123081748202259316128530132682175853057154760446558887462093650771128745975365029516590657784774656
cycle,4,30,21910463966618258132523594405951294740365366514024542290226273783089758988820000030016565179102473357140693093064156657647440224126679275052847857664
cycle,5,0,1
cycle,5,1,24
cycle,5,2,72696
cycle,5,3,1744897104
cycle,5,4,162263230188336
cycle,5,5,41374582329495193344
cycle,5,6,23582513525909851218329856
cycle,5,7,26246570370514306220106693540864
cycle,5,8,51809656324266138547803041750592516096
cycle,5,9,168793308089812476213665135197657857201828864
cycle,5,10,858304247324416954542843711469940834617976504902656
cycle,5,11,6514472627450290677770504546364995116956924090258486687744
