x,u_plus,u_minus,up
-0.311875,0.979575094,0.495557222,0.849837113
-0.310625,0.983541098,0.501398042,0.855831943
-0.309375,0.987600253,0.509023832,0.862665229
-0.308125,0.990480964,0.517135206,0.86832988
-0.306875,0.992433086,0.524111998,0.870364503
-0.305625,0.995655937,0.529717204,0.867332217
-0.304375,1.00234781,0.535987514,0.859966665
-0.303125,1.01172345,0.545867773,0.851341005
-0.301875,1.0199645,0.560144276,0.846102488
-0.300625,1.02356448,0.57623047,0.848374731
-0.299375,1.02202565,0.590904843,0.8585464
-0.298125,1.01747165,0.603784169,0.871769058
-0.296875,1.01266916,0.617144687,0.880952038
-0.295625,1.00908453,0.632614652,0.882379628
-0.294375,1.00606004,0.64893484,0.878503326
-0.293125,1.00225964,0.66316934,0.875031044
-0.291875,0.997791423,0.673680189,0.875267286
-0.290625,0.993762605,0.681427999,0.877535665
-0.289375,0.990031355,0.688394264,0.877956067
-0.288125,0.985150639,0.69555823,0.874872861
-0.286875,0.978982127,0.702695153,0.870373698
-0.285625,0.974083092,0.709050687,0.868424497
-0.284375,0.973672717,0.713702222,0.872107442
-0.283125,0.978404648,0.716601003,0.881610235
-0.281875,0.985286638,0.720100586,0.89381785
-0.280625,0.98963296,0.728193326,0.904401849
-0.279375,0.988449289,0.743108207,0.911105519
-0.278125,0.98276285,0.762975713,0.91481515
-0.276875,0.976927898,0.783010986,0.917420306
-0.275625,0.975088319,0.798709571,0.919451437
-0.274375,0.977865066,0.808524458,0.920045559
-0.273125,0.982475854,0.814475271,0.918470909
-0.271875,0.985799932,0.820069532,0.915144186
-0.270625,0.986725804,0.827229511,0.911672321
-0.269375,0.985654188,0.835541416,0.910293191
-0.268125,0.98296091,0.844351824,0.912759539
-0.266875,0.978860902,0.854406706,0.918953802
-0.265625,0.974315385,0.86701318,0.92650349
-0.264375,0.971040959,0.882389229,0.932207011
-0.263125,0.970434932,0.899437964,0.93436648
-0.261875,0.972729265,0.916702295,0.933956732
-0.260625,0.977136906,0.933023136,0.933136659
-0.259375,0.982721377,0.947557311,0.93256666
-0.258125,0.98886042,0.959668021,0.931042805
-0.256875,0.994745802,0.968867302,0.92767573
-0.255625,0.999008855,0.974867198,0.923069766
-0.254375,1.00019976,0.978109504,0.918371703
-0.253125,0.997383161,0.980611419,0.914799747
-0.251875,0.990837091,0.985639388,0.913897012
-0.250625,0.983011621,0.995398414,0.916195113
-0.249375,0.978113388,1.0089279,0.919616701
-0.248125,0.97927209,1.02303902,0.921285864
-0.246875,0.985728438,1.03548364,0.921312355
-0.245625,0.993366397,1.04688363,0.923176324
-0.244375,0.998280707,1.05961227,0.929469465
-0.243125,0.999709531,1.07461271,0.938390602
-0.241875,0.999501727,1.08899398,0.94565745
-0.240625,0.999471555,1.09757211,0.949294604
-0.239375,0.999980234,1.09782262,0.951078356
-0.238125,1.00063941,1.09312921,0.95334616
-0.236875,1.0012092,1.09072292,0.955742577
-0.235625,1.0014534,1.09631646,0.955643933
-0.234375,1.00084916,1.11044446,0.951280983
-0.233125,0.999027029,1.12938078,0.943965777
-0.231875,0.996335145,1.14868725,0.937600784
-0.230625,0.993845245,1.16527194,0.936494897
-0.229375,0.993008304,1.17728636,0.942906808
-0.228125,0.995248647,1.18445342,0.955347516
-0.226875,1.0013225,1.18890158,0.969109241
-0.225625,1.01033385,1.19403716,0.979039972
-0.224375,1.01927833,1.20186485,0.982279862
-0.223125,1.02442186,1.21192767,0.979028705
-0.221875,1.02398079,1.22295194,0.97143707
-0.220625,1.01959648,1.23480217,0.961935378
-0.219375,1.01493267,1.24818559,0.952147841
-0.218125,1.01262999,1.26264463,0.943115463
-0.216875,1.0125692,1.2760997,0.936223648
-0.215625,1.01282792,1.28726865,0.933105097
-0.214375,1.01159152,1.2978782,0.934294969
-0.213125,1.00800018,1.31110222,0.93866855
-0.211875,1.00210674,1.32743825,0.944603831
-0.210625,0.994537743,1.34305664,0.95100198
-0.209375,0.986028927,1.35338665,0.956869562
-0.208125,0.977737746,1.35813524,0.960821301
-0.206875,0.972087876,1.36138953,0.961739804
-0.205625,0.971992021,1.36663495,0.959792887
-0.204375,0.978261577,1.37325484,0.9567296
-0.203125,0.988236999,1.37851188,0.955288119
-0.201875,0.99734801,1.38126195,0.957719808
-0.200625,1.00184617,1.38256614,0.964076795
-0.199375,1.00063693,1.3837814,0.972012892
-0.198125,0.99556579,1.38596096,0.978618206
-0.196875,0.990201531,1.39138084,0.98203787
-0.195625,0.987808421,1.40357234,0.981393436
-0.194375,0.989681321,1.42412566,0.976877251
-0.193125,0.994424246,1.45028455,0.970973004
-0.191875,0.998572694,1.47653132,0.967950412
-0.190625,0.999033953,1.49775335,0.970224171
-0.189375,0.995974941,1.51123523,0.975594261
-0.188125,0.992770173,1.51759888,0.97918523
-0.186875,0.992473125,1.5202829,0.9780764
-0.185625,0.994899074,1.52275289,0.973928901
-0.184375,0.997337847,1.5259567,0.971346694
-0.183125,0.997339636,1.52928452,0.973742305
-0.181875,0.994666938,1.53337312,0.98062877
-0.180625,0.991169942,1.54048482,0.988512142
