r,shift,coefficient_x5
23,24,-7172116395246199362818087244830380560
23,25,-20477444456399612875853293983504272832
23,26,-58086003142664221937730241993513756512
23,27,-163735597058739988301466789349237059984
23,28,-458767458567734432573301161954797325088
23,29,-1277956211958875283611355143288766366016
23,30,-3540003336773122602514555849509146780928
23,31,-9753063835203156099013222070531256599520
23,32,-26730607819973046974187927597831014688240
23,33,-72892578564235579684491612781766747370880
23,34,-197804803549966126616100036437743553969760
23,35,-534241973430815548983581696781168808901680
23,36,-1436322580220059628529869144848020879117120
23,37,-3844507629843691223788594380215996170669440
23,38,-10246208251958088494864753817755730681857280
23,39,-27194151066176045703635120399301141246232560
23,40,-71883839075194916620353913987653729351822585
24,1,-243896358063263652702519300
24,2,-913344772997572103882430352
24,3,-3369652624843107288815522624
24,4,-12239561156244468551173123840
24,5,-43760736631267380828247636800
24,6,-154025639741248461101020745640
24,7,-533876558760198995548772731985
24,8,-1823227521512739520491988484355
24,9,-6138223577395378847402329169865
24,10,-20385171135243153689489148058950
24,11,-66823539183062522109288171071940
24,12,-216350953767062597902512031198260
24,13,-692253075272723145713627071002180
24,14,-2190275313986813589510638235719070
24,15,-6856429079563640754109713051342225
24,16,-21246454222070116287239371993222995
24,17,-65203933118635117334198387003977305
24,18,-198269516410855518254114228674742640
24,19,-597607194415052031743659127476500480
24,20,-1786174953630223821844455277907505600
24,21,-5295897973875696011365242106481556480
24,22,-15581568560680278803877377993543617920
24,23,-45506917761664843569005125060657161360
24,24,-131967833054329490582784821696600935344
24,25,-380105935073382276466343020922638008336
24,26,-1087679715401901573459525922123234634784
24,27,-3092887961284527971014874603969478477888
24,28,-8741676291731765520518598136817001722432
24,29,-24563336730447325913583839778971435657280
24,30,-68632759442532792955340205288621972276000
24,31,-190726658095603366230990748687203051492880
24,32,-527238334470607616074715026744130840271920
24,33,-1450086026015439992918155366589859377775760
24,34,-3968655552518931605733089809857598442374080
24,35,-10809955475177218802434089938533837716000000
24,36,-29308924822104836374449091169872037694804480
24,37,-79110263729718499274612670916199302673829120
24,38,-212608825409959713112469612174716149744330960
24,39,-568985321792842492478544785724289510595201865
24,40,-1516510441204666244076309444674989405202637675
25,1,-3764570251765151927501524576
25,2,-14148939785210302020429756800
25,3,-52426725769787872348813737280
25,4,-191376072918240973404953234560
25,5,-688028389238389723036231045600
25,6,-2436288917528762535860820234945
25,7,-8499124405666611726887180414475
25,8,-29223168155163906738225417459180
25,9,-99086141459715265682533340038860
25,10,-331495370503008417023888153574900
25,11,-1094904101984042188749328704888420
25,12,-3572430781768190967504663445918200
25,13,-11520993040069019814542290499519040
25,14,-36744653244905673862508397802501005
25,15,-115959098776013843798129889229799175
25,16,-362274455622739254726723937706662560
25,17,-1120974471565665202960725129060218400
25,18,-3436917474874798392906707571717821760
25,19,-10445659649262650839989227398441701120
25,20,-31482008471763684824900578298243558400
25,21,-94124852209384807729773630465293735040
25,22,-279258812917405396424433181701861238800
25,23,-822443702836233564348955224401127795888
25,24,-2405080052479548738960032663350546519872
25,25,-6985481437017284657012388861644035301184
25,26,-20156664119744475234936970208854874837568
25,27,-57796536009336729373523841160538215873600
25,28,-164719467554446970108522572476463221477760
25,29,-466703925936229359242909255665313832497920
25,30,-1314860174481357373782948286590895776318800
25,31,-3684195165981914743330022237176006559065840
25,32,-10268558963729619965203800052183287986947200
25,33,-28474422771672871501406051643104960320210560
25,34,-78568745131843747122438029088455741187102720
25,35,-215755319461362294888919988471907396909907200
25,36,-589731129886196117688293212975910230331466240
25,37,-1604679845964039474012033379613215898671166400
25,38,-4347330221948218334115966787711176814344772905
25,39,-11727681128241104314727361751379463903119449635
25,40,-31507202345259649752036669697629223913659921500
26,1,-58171393677944650144054305600
26,2,-219360404405349104980345477760
26,3,-816032567706578510905160311040
26,4,-2992425958825418412976652653680
26,5,-10813284879089404868251454984625
26,6,-38503636563499209972252001955700
26,7,-135128556527080072318487058875760
26,8,-467576519051944796156994384711840
26,9,-1595952679390783152465557249480580
26,10,-5376196853641758513445009669827000
26,11,-17883631009460327208536168232560400
26,12,-58776217998762604064605930802650380
26,13,-190963074455777697642071246295758745
26,14,-613660148145786731944619065007305440
26,15,-1951444919053091386469564113322592000
26,16,-6143876731768067662113383496852340800
26,17,-19159439836137303789304779997467333120
26,18,-59205470025153416780679564478605434880
26,19,-181364694175622666344210031682470568960
26,20,-550957120512939716291863722257395440000
26,21,-1660385437388894348593803458373648627600
26,22,-4965561403936043367763110726009410602176
26,23,-14741083233239536887998690975808938699520
26,24,-43452722602521908982907562190997543064832
26,25,-127217954360405727690229697587915413672000
26,26,-370027349439860828785397226655817215011200
26,27,-1069490419724171103706349077348042712049920
26,28,-3072382423505134162439610150239502675286080
26,29,-8774473096261160203888167641116689581814160
26,30,-24917313393760584096106095682272398249328000
26,31,-70371700913957127475869282760101261037670400
26,32,-197692165188662079859715392296831437023537920
26,33,-552521667817306345069921899621883557311642880
26,34,-1536553692831564299057913331017652703950133760
26,35,-4252569130452925062028316575310911193683584000
26,36,-11714497019172526520145544774019105059369720800
26,37,-32123652802997592137951188814260156594594315785
26,38,-87702664865672898779413519902552360538061039940
26,39,-238419729114091963188094832347493669187907242480
26,40,-645454461468613098670243768401065487685311624000
27,1,-899834541393297575662497147520
27,2,-3403526994605545813593863795520
27,3,-12707454844286532396852615729900
27,4,-46795163847573636032700258020925
