n,size,k_zeros,trees,unicyclic,total
82,52,32,67651008600,43489934100,111140942700
82,53,31,9854764920,8958877200,18813642120
82,54,30,511935840,703911780,1215847620
82,55,29,6715800,16117920,22833720
82,56,28,8856,57564,66420
83,44,41,13280,166,13446
83,45,40,3034148,123006,3157154
83,46,39,166644744,12253290,178898034
83,47,38,3418096704,385914144,3804010848
83,48,37,31255568960,5023216440,36278785400
83,49,36,138518998800,30474179736,168993178536
83,50,35,308090608320,91026770640,399117378960
83,51,34,344336562240,135922327200,480258889440
83,52,33,187819943040,99779344740,287599287780
83,53,32,46852014300,34238010450,81090024750
83,54,31,4749973800,4987472490,9737446290
83,55,30,157706640,259089480,416796120
83,56,29,1087632,3398850,4486482
83,57,28,332,4482,4814
84,44,42,336,0,336
84,45,41,262080,6720,268800
84,46,40,27636336,1535352,29171688
84,47,39,927588816,84326256,1011915072
84,48,38,12972294720,1729639296,14701934016
84,49,37,85406783616,15816071040,101222854656
84,50,36,280375804800,70093951200,350469756000
84,51,35,467703815040,155901271680,623605086720
84,52,34,392045844960,174242597760,566288442720
84,53,33,158402361600,95041416960,253443778560
84,54,32,28449897840,23708248200,52158146040
84,55,31,1966582800,2403601200,4370184000
84,56,30,39901680,79803360,119705040
84,57,29,127008,550368,677376
84,58,28,0,168,168
85,45,42,13940,170,14110
85,46,41,3359200,132600,3491800
85,47,40,195757380,13982670,209740050
85,48,39,4290887040,469315770,4760202810
85,49,38,42297230800,6563363400,48860594200
85,50,37,204273800640,43211765520,247485566160
85,51,36,501954852000,141856806000,643811658000
85,52,35,631028956800,236635858800,867664815600
85,53,34,396713057400,198356528700,595069586100
85,54,33,118107024000,80144052000,198251076000
85,55,32,15079736100,14394293550,29474029650
85,56,31,692172000,994997250,1687169250
85,57,30,8075340,20188350,28263690
85,58,29,9520,64260,73780
86,45,43,344,0,344
86,46,42,282080,7052,289132
86,47,41,31438160,1699360,33137520
86,48,40,1122342312,99030204,1221372516
86,49,39,16822801248,2170684032,18993485280
86,50,38,119825566784,21397422640,141222989424
86,51,37,430577128800,103338510912,533915639712
86,52,36,798066033600,253930101600,1051996135200
86,53,35,758162731920,319226413440,1077389145360
86,54,34,356782462080,200690134920,557472597000
86,55,33,77672736960,59748259200,137420996160
86,56,32,6935065800,7628572380,14563638180
86,57,31,204258600,350157600,554416200
86,58,30,1256976,4085172,5342148
86,59,29,344,4816,5160
87,46,43,14616,174,14790
87,47,42,3709680,142680,3852360
87,48,41,228986784,15901860,244888644
87,49,40,5352566076,567696402,5920262478
87,50,39,56728050720,8509207608,65237258328
87,51,38,297537268896,60609443664,358146712560
87,52,37,804154780800,217791919800,1021946700600
87,53,36,1130284219680,403672935600,1533957155280
87,54,35,812094964560,383489288820,1195584253380
87,55,34,284945601600,180465547680,465411149280
87,56,33,44900519040,39287954160,84188473200
87,57,32,2745276300,3507853050,6253129350
87,58,31,49592088,103316850,152908938
87,59,30,141288,635796,777084
87,60,29,0,174,174
88,46,44,352,0,352
88,47,43,303072,7392,310464
88,48,42,35647040,1876160,37523200
88,49,41,1351109760,115809408,1466919168
88,50,40,21656359296,2707044912,24363404208
88,51,39,166402282112,28690048640,195092330752
88,52,38,652074014592,150478618752,802552633344
88,53,37,1336296614400,406698969600,1742995584000
88,54,36,1429094990400,571637996160,2000732986560
88,55,35,775794423360,410714694720,1186509118080
88,56,34,201754586880,144110419200,345865006080
88,57,33,22708308480,22708308480,45416616960
88,58,32,925610400,1388415600,2314026000
88,59,31,9646560,25081056,34727616
88,60,30,10208,71456,81664
89,47,44,15308,178,15486
89,48,43,4086880,153258,4240138
89,49,42,266785688,18026060,284811748
89,50,41,6637107360,683231640,7320339000
89,51,40,75441786992,10951227144,86393014136
89,52,39,428382734528,84146608568,512529343096
89,53,38,1268238358800,329741973288,1597980332088
89,54,37,1982173311360,675740901600,2657914212960
89,55,36,1615374083400,722667353100,2338041436500
89,56,35,660724437120,392305134540,1053029571660
89,57,34,126314965920,102023626320,228338592240
89,58,33,9985372800,11483178720,21468551520
89,59,32,262116036,468064350,730180386
89,60,31,1445360,4878090,6323450
89,61,30,356,5162,5518
90,47,45,360,0,360
90,48,44,325080,7740,332820
90,49,43,40294800,2066400,42361200
90,50,42,1618699680,134891640,1753591320
90,51,41,27685686600,3355840800,31041527400
90,52,40,228868342560,38144723760,267013066320
90,53,39,974691053280,216598011840,1191289065120
90,54,38,2198551248000,641244114000,2839795362000
90,55,37,2630833959600,1002222460800,3633056420400
90,56,36,1633524354000,816762177000,2450286531000
90,57,35,501111230400,334074153600,835185384000
90,58,34,69673219200,63867117600,133540336800
90,59,33,3786588000,5048784000,8835372000
90,60,32,61167960,132530580,193698540
90,61,31,156600,730800,887400
90,62,30,0,180,180
91,48,45,16016,182,16198
91,49,44,4492124,164346,4656470
91,50,43,309643152,20371260,330014412
91,51,42,8183426160,818342616,9001768776
91,52,41,99531752320,13996652670,113528404990
91,53,40,610084400016,115705662072,725790062088
91,54,39,1971041907744,492760476936,2463802384680
91,55,38,3408568712640,1111489797600,4520058510240
91,56,37,3129488762400,1330032724020,4459521486420
91,57,36,1477814137800,825837312300,2303651450100
91,58,35,337786088640,253339566480,591125655120
91,59,34,33692218560,35223683040,68915901600
91,60,33,1225171584,1914330600,3139502184
91,61,32,11453260,30923802,42377062
91,62,31,10920,79170,90090
92,48,46,368,0,368
92,49,45,348128,8096,356224
92,50,44,45414880,2270744,47685624
92,51,43,1930449248,156522912,2086972160
92,52,42,35161754160,4136676960,39298431120
92,53,41,311939074304,50312753920,362251828224
92,54,40,1439173456448,308394312096,1747567768544
92,55,39,3558395908800,996350854464,4554746763264
92,56,38,4738285078560,1723012755840,6461297834400
92,57,37,3339649790400,1581939374400,4921589164800
92,58,36,1195243082880,747026926800,1942270009680
92,59,35,201794286720,170749011840,372543298560
92,60,34,14192692800,17031231360,31223924160
92,61,33,333478656,619317504,952796160
92,62,32,1654160,5789560,7443720
92,63,31,368,5520,5888
93,49,46,16740,186,16926
93,50,45,4926768,175956,5102724
93,51,44,358086456,22954260,381040716
93,52,43,10035938016,975716196,11011654212
93,53,42,130327806180,17771973570,148099779750
93,54,41,859990135680,157664858208,1017654993888
93,55,40,3021542265168,727408323096,3748950588264
93,56,39,5755318600320,1798537062600,7553855662920
93,57,38,5916797160120,2394894088620,8311691248740
93,58,37,3198268735200,1687975165800,4886243901000
93,59,36,863024896800,604117427760,1467142324560
93,60,35,106428366720,101993851440,208422218160
93,61,34,5164906032,7173480600,12338386632
93,62,33,74911872,168551712,243463584
93,63,32,172980,836070,1009050
93,64,31,0,186,186
94,49,47,376,0,376
94,50,46,372240,8460,380700
94,51,45,51042376,2489872,53532248
94,52,44,2292266704,180968424,2473235128
94,53,43,44379349560,5071925664,49451275224
94,54,42,421533377408,65864590220,487397967628
94,55,41,2100656908480,434618670720,2535275579200
94,56,40,5671773652896,1527015983472,7198789636368
94,57,39,8362230385680,2908601873280,11270832258960
94,58,38,6644909594400,2990209317480,9635118911880
94,59,37,2747759913360,1616329360800,4364089274160
94,60,36,555103012800,436152367200,991255380000
94,61,35,49304180640,53786378880,103090559520
94,62,34,1606290048,2610221328,4216511376
94,63,33,13520960,37858688,51379648
94,64,32,11656,87420,99076
95,50,47,17480,190,17670
95,51,46,5392200,188100,5580300
95,52,45,412683040,25792690,438475730
95,53,44,12245163320,1158326260,13403489580
95,54,43,169438887800,22425735150,191864622950
95,55,42,1200595547840,213008887520,1413604435360
95,56,41,4572624694400,1061502161200,5634126855600
95,57,40,9553519450800,2866055835240,12419575286040
95,58,39,10936834484400,4225595141700,15162429626100
95,59,38,6715600122000,3357800061000,10073400183000
95,60,37,2115802972800,1388495700900,3504298673700
95,61,36,317091684000,280504182000,597595866000
95,62,35,19931477280,24914346600,44845823880
95,63,34,420875840,811689120,1232564960
95,64,33,1884800,6832400,8717200
95,65,32,380,5890,6270
96,50,48,384,0,384
96,51,47,397440,8832,406272
96,52,46,57214080,2724480,59938560
96,53,45,2710675968,208513536,2919189504
96,54,44,55683268992,6187029888,61870298880
96,55,43,565034101632,85611227520,650645329152
96,56,42,3033083489280,606616697856,3639700187136
96,57,41,8911461058560,2310378792960,11221839851520
96,58,40,14481124220160,4827041406720,19308165626880
96,59,39,12893952234240,5525979528960,18419931763200
96,60,38,6107661584640,3393145324800,9500806909440
