n,A225114,connected_A006958
245,6820472863991860522175973610680361675383725557655808741658042064073740902381657426646481265694254072507189265868370818855,33011788301653979295919870000931619740443793781450428437261480135189988938313529893349591
246,21340872664169474301972381081931020539444996569932940623083854024649836817739619643274776138559802135224583682214613093303,76228794402205351422074551807481685230337450214798488556321170732187726123383954763834412
247,66774379892736924534270019316089055205888988832374331998496753322123863657621834686748227105764434882538201824575699399090,176022851077187956187776272961312957488876011582105801621200594861277873416429535778904644
248,208933246555832618277218207406936511059798376936591165680382762969828149469471160965642602224557460446207353378502033756890,406461158730400956381972670109728423427622240972729355320484515187451165395522203555077216
249,653740275633896341200500807648933803910830515662901453806022602459485692081582533466119437155460155960230299941516637776735,938575148314201002102400877190749058994914447310770372437314415536414768408749660325972021
250,2045516235596694445063918731477604762287215425377230688979260036768386938288187364371122727405749123493317925250698497051213,2167300097713214565171971392071128900515760229115385835648795006872478541527504065484213672
251,6400304258495534977940380155261265240482370202070264059931103424564529104253986555669524150107067550469087827742099726138013,5004596298958536061532271912895253665719429552238838207022470657559683789932186091527074361
252,20026188933849534628707808275258950442749895235527664666595902335388581650569033804035132014331235930032290595199495639033469,11556306457964114034548344017967471895558165235524659201378748630747959475158825889113395679
253,62660809082927653812539099142287432906405385219275434441626170827252443906118684772557889835474009269396353421616891853798684,26685113238439366321547771270033354745625651458859567971547788518683696036802955910660003034
254,196062116855918469126000068012217204935904441742306756075901998207995159990839139420972667025357021766035591628552862610122808,61619624846274841187627325883338624340380036141669049992183714113784498827058212613772386711
255,613467240985516642586987540910603323287475862133631612045110626365483589527453098640948182604988880616407324318705483496207670,142288253839079889415269840448848106942893719280630364675981335006191736808961104750421831439
256,1919504194882007997968923714550609198443394498921592078002567330072723087813849681082369286371991360908957804008992235699029258,328563298317425302450024957248557488060705339695452680330038442755007546725233163868300395256
257,6006019731796262401677180526695534395855499716060478622343408543232692875362759756495586395631100345820379604386561658078270726,758698192496727169208376179568991447379183346307381543605699280339154710882260516580237324092
258,18792495017674817773962561909118390040434986183882768827704391036602629850615495537341539467438016900886747220590069573783596671,1751939276984281487724993676251854760139485875164507700758870904143013147107923750351184119038
259,58800650807004833359052682932114492186467474335526666554647242676992487641462208194655562438033252560124045343332818157083815763,4045470597655927737929445249823580060865120976025422806159313477826731994128815878573386935317
260,183983900598373778689081213170412229926187101729265047613735693529987817508690479520107358249876842364637436492006283668591689616,9341552285231084792212147097089343927895426429439093583205250084447013014039110607932426638369
