n,decimal_digits_Dn,log_Dn,root_Dn,root_norm,normalized_norm,linear_log_remainder
77,5565,12812.835086469085377238413144141394884586776660944,8.6802026815686333311154365572810235151690682089641,8.4674150244563513339095043037262329539673270121089,0.63248018554935124633449454741924259561878501781644,-0.45714331431627537961040306775998197120570715945385
78,5710,13146.092157313253543303375869166460999644013652494,8.6777706175841663616735528088151660078810018006527,8.4677368302462971319315732411850196636014042293242,0.63246707104556983722477806553081576068898346876526,-0.45715592722662755605141164211399754255921105952392
79,5856,13483.627612131052813135214114184135174255965120851,8.6754007934350527690504448789883552354627329673899,8.4680507545960501757597269055108468682387143086949,0.63245695147284780770835379471530277607336419621814,-0.45716842335805257862450134270458958862792758594028
80,6005,13825.441455883892878686499606480806223223126927,8.6730908569118442804869867915360451160716518717975,8.4683571046360560623633190369310865542814909814256,0.63244996989766681004062246694576713420599464198448,-0.45718074507213906619257253621802630660383800290374
81,6155,14171.533693684581877183238245931239474988626779151,8.6708385730540177343025282441606383466744396746905,8.4686561684287084407930465094758466576573248049268,0.63244622196747784800616747145433800396708530870656,-0.45719283570770033207672590964771680193324737360639
82,6307,14521.904330722833628600172788993391586064359853297,8.6686418168385746691595800248860606029358459324375,8.4689482161572704492811486805140137045633290001055,0.63244575626346411580650209961487925944092023283296,-0.4572046404296358359148760605826193935923060290993
83,6461,14876.553372192154990530963490261961412100476575875,8.6664985664106518320417123441134105560625203926971,8.4692335012715467711815451919315945958505462605585,0.63244857517727621583514777196130876944078103979055,-0.45721610699980123665253811038159562448294921886933
84,6617,15235.480823218926228034869569639285906263610628495,8.6644068968108472163714490562518990869000180111291,8.4695122615928419008648771796765205779448872624003,0.63245463629830837058267346545148791610593106731571,-0.45722718646670897774259592096215532693460033325163
85,6775,15598.68668879445735207916831165609143051071249398,8.6623649741582050026195519987514477160842237064413,8.4697847203800635280881357751471349506448608874528,0.63246385429271693674938808994369579331642430224446,-0.45723783377153272991052629452346188481039458874574
86,6935,15966.170973710764237508340448831168733928084655797,8.6603710502515897957083726569682221321911151808534,8.4700510873582039467902519143968080071274518968151,0.63247610324974264441747964518186389013091498769741,-0.45724800826857920388058097283606193005713532384491
87,7096,16337.933682500759791051685166075085056130147373916,8.6584234575555684702711733328764358878399253621814,8.4703115597098613387783397562589253868096805706876,0.63249121946510859821435297136803777258079335339886,-0.45725767415911765373660411883304603650777541889802
88,7259,16713.974819383497544459252878652234519412984355928,8.656520604539952982528301267377315478179225800253,8.4705663230299520727567270541307863693572693727256,0.63250900462547334763733733751918821141667591321812,-0.45726680083821617405009208856614972143850344583755
89,7424,17094.29438821503810612556875775300717965864118973,8.6546609713448803889775780387034765527520002252546,8.4708155522433206822854904733100746780443849583,0.63252922935228531807785877334257801682376706492169,-0.45727536315501758947388122291628967454048961035147
90,7591,17478.892392445433503632959732351222102009083276557,8.6528431057457529233874752701294348237376632909503,8.4710594124845817000050093218096174858798043251679,0.63255163705808436721921332906238202383817579255823,-0.45728334158768705258955116113157507418618751636479
91,7760,17867.768835082241454779053904746352797983549960711,8.6510656193945630253307671260199821715007621522099,8.4712980599392320818452385032372278572031493011529,0.63257594806350281338754896456780437731855919204948,-0.45729072233506717943332448880465484500339409216134
92,7931,18260.923718660892145937216241630772860858935276031,8.6493271843161137055096999306894223878545651368003,8.4715316426448583917091298444269709071240370930923,0.63260186391910025980621632926437721599536962024722,-0.4572974973278719008253177617969748957920162959003
93,8104,18658.357045222135542967248757776854016005401173053,8.6476265296394383490888806163328006351946983197674,8.4717603012511314364214974793797815575030028912361,0.63262907187287779842365469727560623013823190453981,-0.45730366416302337113707211335230462214263264994313
94,8278,19060.068816296699181504344615497905104676940480703,8.6459624385463478945398946030242999530346912997055,8.471984169737232893299570898107227880109450546038,0.63265724942198968560180077583604934886841075368353,-0.45730922596547291077334876103449646787780899072392
95,8455,19466.059032897186504151341973701799975128717863402,8.644333745420506616286602860886202127254126361796,8.4722033760853917611546755553771443511706835359323,0.63268606888590783001629872835676709896730453595497,-0.45731419118253276383086638067245112127840485106322
96,8633,19876.327695517145954224763370684582023593900063886,8.6427393331817775285678577979989885626864729061381,8.4724180429093190744520463862601417498302857051917,0.63271520193816621821942261290033154780946505519537,-0.45731857331636674013476808464209895050938896748019
97,8813,20290.874804137143059966742710444461031278628039877,8.6411781307917997063496652406819342001464810993468,8.472628288036510973928543000399750698805568432925,0.632744324034851252373287092879674305691987464643,-0.45732239060083204987192958169390530883228585037612
98,8995,20709.700358237573486513393436291254289270701446678,8.6396491109178757351677613425714615932073932445061,8.4728342250436346679524867294773431645412916405486,0.63277311868020340930594307850866018455892767550794,-0.45732566562932094675242002806191339344020372829752
99,9178,21132.804356817866247676488431984733337239844847297,8.6381512877432695503095506597363350288562717482902,8.4730359637445090955960306372686879832954870594501,0.63280128147301036574650848605188705462146338411283,-0.45732842494061035427924073073884901394344940940509
100,9364,21560.186798421644566407877471838439677578080289997,8.6366837149129531206178905300682034400309977492242,8.473233610630530944166247647857309787811106994679,0.63282852388181978352244974705903010572570694481906,-0.45733069856998402761450403890002932034494257695484
101,9551,21991.84768116733867057970737985732582226570622131,8.6352454836047034657031734638215470087834976358759,8.4734272692637649311954009806559611323414601693349,0.6328545767022664774823192930544883030908599533762,-0.45733251957304116804957478599688752018930512214434
