base_q,length_k,T_q_k
12,8,1069
12,9,2068
12,10,4010
12,11,7768
12,12,15074
12,13,29225
12,14,56736
12,15,110055
12,16,213705
12,17,414676
12,18,805314
12,19,1562977
12,20,3035514
12,21,5892257
12,22,11443768
12,23,22215753
12,24,43146726
12,25,83766396
12,26,162686691
12,27,315860810
12,28,613439352
12,29,1191054193
12,30,2313133481
12,31,4491308647
12,32,8722392289
12,33,16936255308
12,34,32890783210
12,35,63865093348
12,36,124026693854
12,37,240829981420
12,38,467689536251
12,39,908150712785
12,40,1763604368490
12,41,3424565073801
12,42,6650363485719
12,43,12913765694227
12,44,25077838291284
12,45,48696786194992
12,46,94566033550083
12,47,183631672725503
12,48,356599326516646
12,49,692460119341956
12,50,1344702056598936
12,51,2611210197734355
12,52,5070745095987927
12,53,9846656794487663
12,54,19121308828438776
12,55,37130917519658017
12,56,72104696557775684
12,57,140017553561082823
12,58,271900228780147435
12,59,527994288516314703
12,60,1025311100213479309
12,61,1991021313500951215
12,62,3866355645063228491
12,63,7507970320517704240
12,64,14579679784878257525
12,65,28311908515364910101
12,66,54978667328022342774
12,67,106761757090918274427
12,68,207319647566917143954
12,69,402589322292382161202
12,70,781783933126133714448
12,71,1518129322274298236503
12,72,2948037751934712466266
12,73,5724733396839045530066
12,74,11116788883102676256256
12,75,21587470047584047927050
12,76,41920426264082000714427
12,77,81404463166635697779558
12,78,158078218940545301162421
12,79,306969109478038573939037
12,80,596098992955585104383754
12,81,1157553634423612632822238
12,82,2247836663410101146063435
12,83,4365033326825864050272208
12,84,8476393695823069645977439
12,85,16460157958115103403241610
12,86,31963733045692811558509831
12,87,62069811716674781760187420
12,88,120532419581627701360785560
12,89,234059812647834816496438201
12,90,454517132985285706764259604
12,91,882619004693093831320954952
12,92,1713944069734134047830858899
12,93,3328278755833009364242510137
12,94,6463132145344722188377527363
12,95,12550646829018361767130129753
12,96,24371902261069698165789697086
12,97,47327386503680058037288707226
12,98,91904297958119930808009898776
12,99,178467415649998433657888960270
12,100,346563018491859474043813359352
13,1,12
13,2,23
13,3,44
13,4,85
13,5,164
13,6,318
13,7,616
13,8,1197
13,9,2324
13,10,4522
13,11,8792
13,12,17122
13,13,33320
13,14,64925
13,15,126420
13,16,246421
13,17,480004
13,18,935851
13,19,1823388
13,20,3555538
13,21,6928600
13,22,13511799
13,23,26332796
13,24,51356018
13,25,100092888
13,26,195215706
13,27,380491272
13,28,742108283
13,29,1446468044
13,30,2821230223
13,31,5499048716
13,32,10725605541
13,33,20906227300
13,34,40776773646
13,35,79482185384
13,36,155027549509
13,37,302181456500
13,38,589397254306
13,39,1148863191224
13,40,2240832502538
13,41,4367877245256
13,42,8519458804045
13,43,16606326235156
13,44,32390337372925
13,45,63136044551076
13,46,123145765871611
13,47,240038885282140
13,48,468191849508642
13,49,912611856906008
13,50,1780034585968415
13,51,3469690916249628
13,52,6767576569759194
13,53,13191542614038264
13,54,25729894731317042
13,55,50153408469115112
13,56,97823433244369483
13,57,190680099101017484
13,58,371918542460462151
13,59,724953773437778668
13,60,1414010994921281589
13,61,2756228885934011684
13,62,5375981402713087390
13,63,10479010067116302824
13,64,20439145687316904541
13,65,39840542480802406868
13,66,77708357137684079450
