n,A289587,no_upper_bonds,no_upper_bonds_no_fixed_points,indecomposable_nontrivial_core
84,8092178614237600686723873382299793229073917,11868687511986692656905225843694684577106192,4610868541224800037457771681912527468873333,2646950429537092581989682479869629639359527
85,28197533755284361293126880375350460982698345,41356141627883851729194081941027092444078730,16067202272717125827139269288601018753166032,9221737082449600074915543363825054937746665
86,98275567374130208288358920569253263345778217,144133952781446724980823527753395255787831818,55999774118006236663272494588096609140749877,32134404545434251654278538577202037506332065
87,342583724819480935134181964860312760359987359,502434555918995125127598341596225206917910244,195217503841491325900526676210015994318205245,111999548236012473326544989176193218281499753
88,1194462883947280762672091853163186575066947874,1751772290488356338098814526025913382051140066,680668641402686843148880586802940696707364788,390435007682982651801053352420031988636410491
89,4165445486626877557597585155609170007189180998,6108841303000967752227377445152543851186215282,2373752010097797032964808135773331228885742853,1361337282805373686297761173605881393414729575
90,14528851228015228842841801740907518395761784899,21306947178457287927866851289789182434282054200,8279721579130846930968617509121259988255284247,4747504020195594065929616271546662457771485707
91,50685104493359857988506519818888316243188491763,74329810849593788511863066643717212048336161318,28885183845666047324962915812737346035912796412,16559443158261693861937235018242519976510568493
92,176850765441388767285333230718031657348899953469,259347767066022872644523367959495996749397342262,100788699687345388997298768167010652338785874719,57770367691332094649925831625474692071825592825
93,617176534312878804329447066321546582987604786013,905061344192118878606666761288265219973016622076,351741972408714050306034612477121957647722436319,201577399374690777994597536334021304677571749437
94,2154200485406801588983088237502201749122468178272,3158987596623058198010468409684161397723943454142,1227751825902815048699199592364958741214249290752,703483944817428100612069224954243915295444872639
95,7520306226760620662243805799913841797306794683870,11027845200080333569832902851750031768521536470974,4286170774137351736217251833510057143046518944735,2455503651805630097398399184729917482428498581503
96,26257665502859439959415208110112407510486125759393,38503900056708401814789549707111617058852369137536,14965779254216849171177523020045751386379665624033,8572341548274703472434503667020114286093037889471
97,91695159989592286167532850510052339005144582224385,134458614468221601450215879577818622076970377183170,52263527979893951553930416768863559652105522967552,29931558508433698342355046040091502772759331248065
98,320261702654171330776338793329200281851670503771201,469613926715681654405803287413821580682026306954690,182543435377946875648971226938047230688907630509793,104527055959787903107860833537727119304211045935105
99,1118743489529476390742286094556468970965961839329187,1640439990421005160123584603417586989736895934809092,637676559832555704412821074770746264179540336894753,365086870755893751297942453876094461377815261019585
100,3908603483077029299249403795038863601123127529378086,5731198260113302063672510935140750256753460288743498,2227922570224095327423434392799628864197189807476996,1275353119665111408825642149541492528359080673789507
101,13657681883694078571036764615008057380758060236358962,20026032688840979587541764639815891980792303719750234,7785093774196394466347447927108317126198962052398121,4455845140448190654846868785599257728394379614953991
102,47730435504106257618543397625833509693046145361990031,69985416437989192079361329489777914020675531522949832,27207614444798201573333216817780639884138803709076795,15570187548392788932694895854216634252397924104796243
103,166830559089956734983322067723791555104949255742472715,244614444349555458393811366091053688467676155158915854,95099607729979527623572466227746204349699273870381132,54415228889596403146666433635561279768277607418153589
