k,W1,W2,W3,W4,W5,W6
150,2854495385411919762116571938898990272765493247,27370779314506004953547683150440339442,1490330149881004604337149219274002,5424166667617028852048565539916,207749571988950888072866475950,31921432465805522121129887669
151,5708990770823839524233143877797980545530986495,49267625880568214750717059253347246429,2364416757269987791043759581319644,8111318207255039842757937778137,298806558653434124513973708105,44628584404850270076487245649
152,11417981541647679048466287755595961091061972991,82112806284494439086341898337357337556,3745535867534140185232918363315076,12169027227895572134408179793599,429754727276954104171867163228,62363296965173984931312156070
153,22835963083295358096932575511191922182123945983,147803635433323009751835521734120162652,5964605353590489430728854925526913,18186986008534698316352334020703,618007194899908507839990622552,87157105207029018476061599631
154,45671926166590716193865151022383844364247891967,246339644986078106984408887872186755418,9462665439339274856322385627940886,27284829363365394680215065694709,888601141243681635853907197352,121752303844610339907160227583
155,91343852333181432387730302044767688728495783935,443412890224182486712029005693847330770,14989749496068075210036856465772434,40795176124648096069983797832852,1277520523603182133663321699831,170094139264312009451544333389
156,182687704666362864775460604089535377456991567871,739022145015042568135132296968161851975,23869995358835414267985784731656816,61192331953714183285146813027028,1836521012037352402049894307761,237532786455265254075442619912
157,365375409332725729550921208179070754913983135743,1330243864653569769237424898239217774090,37868273441133403005092596875232683,91439999301457427039944098129471,2640028578835681597321290933796,331754906320230190236445797181
158,730750818665451459101842416358141509827966271487,2217074839082958260688640405413762923585,59985796922872054458807352897987922,137159080957183918675853077945618,3794622718689147349945576205399,463136184686671129733376710324
159,1461501637330902918203684832716283019655932542975,3990745191979563382022675705013781178045,95520760020511606102708444498790351,205044930098417321173485931032516,5453482165090963890641887722905,646637946067392223905726083061
160,2923003274661805836407369665432566039311865085951,6651246519305559412659565741046693994351,151535143955349133469278306564558901,307517118526906764138492966255666,7836669611204078558765353427242,902455247006927274476129087764
161,5846006549323611672814739330865132078623730171903,11972271176014231268823711879401226026019,240037604987578935735159854789019278,459462439141282789678553502322829,11260568086846450601186242303258,1259597920217952478047536297548
162,11692013098647223345629478661730264157247460343807,19953797160048903991328026512305369698696,382226707428929986538905439893419214,689087009423541581565769171800581,16179961644437340574025168123069,1757399663398328607811757347776
163,23384026197294446691258957323460528314494920687615,35916906730250465518279428150245547110451,606359181464508751096957455245763060,1030012077889796456208202000366819,23245896748944393605780509067293,2452288192194940554566923534129
164,46768052394588893382517914646921056628989841375231,59861542284486709439141701338123265844290,960483050723383669717741721281332812,1544550236886340549298102792659303,33393717575847017721567159992779,3420432854016659051601197072017
165,93536104789177786765035829293842113257979682750463,107750964197299175403210755681019064761522,1529412959271667465309404603211102492,2307441183661392286740086521881802,47966688280561498695242030869737,4771496399271375327423828069186
166,187072209578355573530071658587684226515959365500927,179585021664347904630955197045859377711408,2426206845415796981199600487354415312,3460169532715555535185560265516637,68895285946378536734056203748327,6653502080303234982933864384392
167,374144419156711147060143317175368453031918731001855,323253531409333100714347945138895993192256,3843104000394077678041363684200153820,5171488300696110353728441782916188,98953467970948577739078067986846,9278787357242401767685474980406
168,748288838313422294120286634350736906063837462003711,538756098621367064711111362264906512220621,6119434812629893214344433085624372225,7753919871727498945996954377191990,142111123925547166426107223646208,12935216349260174207806649010010
169,1496577676626844588240573268701473812127674924007423,969762266673758266151631512307988748168656,9707540293515950901487837069100347529,11582530995564397737216379861289683,204069755196475249090892582469166,18035199383491500861832480957615
170,2993155353253689176481146537402947624255349848014847,1616271001938183508960167534813348684340319,15376543854069791690297680150273968696,17366772937062992023946218208022440,293014707475554347469275266669667,25135449564212191608249318724617
171,5986310706507378352962293074805895248510699696029695,2909291178541116154661568117170163341971747,24484019995894890755739950053430736165,25953304673465780829818636399188213,420705603773139645989325364227999,35036344572301855918796209919535
172,11972621413014756705924586149611790497021399392059391,4848820090408474197914009632704872298165365,38839717610761704974994261607569666128,38909023417807411888152247081176272,604034690425424690187112409542761,48818246856176039395622084260620
173,23945242826029513411849172299223580994042798784118783,8727884998737113645967389870694047730916129,61520715909722070604649217542013940120,58115383610535494131568692744374941,867170523171720477613894298358334,68028954439437860848495667895725
174,47890485652059026823698344598447161988085597568237567,14546478818933111446758221445563000844641566,97958203847849164044139273213557361398,87128699001617120903529068436112451,1244812968536942521259102864886992,94766581893233769170003274557189
175,95780971304118053647396689196894323976171195136475135,26183685007032795282386057500059153572675977,155392532515064776584682772751797877487,130195207161859792528427146937941333,1786764114917693270609864235170169,132033309195514253338269187087192
176,191561942608236107294793378393788647952342390272950271,43639485015328477537774744772114396863997936,246134081241129682410904881254753134464,195168528985683708476348957270797089,2564551286819440280604190584219359,183881950547901179039959188002901
177,383123885216472214589586756787577295904684780545900543,78551133590448984008112160466270002877591048,391910743912535909576680081385765496860,291483305236725103410069690404723844,3680890694045525882905546557312668,256131642535535591167341270426069
178,766247770432944429179173513575154591809369561091801087,130918582173865173971778302717861127081630342,621688699257732529590487472184613787644,436961541872710448489226553644838774,5282708248337521667653903429004274,356637321167056697982682430969264
179,1532495540865888858358347027150309183618739122183602175,235653606468577292781684577051800762181097198,984716728898425328707802951943687225663,652892288923822618881897143152873187,7580893559075909145711469829427325,496639412949581932572832271852063
180,3064991081731777716716694054300618367237478244367204351,392756079346705604031137072208092071282851795,1567917460920501111672978846280437212559,978629069810125295618079465663188542,10878040128924813524243921387004476,691373599688886752719872491256608
181,6129982163463555433433388108601236734474956488734408703,706961357928072303694084069433662279927825046,2487172425912937704949597754013142347267,1461467420392592821342610761879954639,15608623563011721175212464886642016,962616053438193539194144882738992
182,12259964326927110866866776217202473468949912977468817407,1178269109387567319558243718957044897271049789,3939502335518745584024932698749841635477,2190697858964144071446646819601447986,22396404653482657288289164617070036,1339765078167856954928381735286411
183,24519928653854221733733552434404946937899825954937634815,2120885483654007848847875206053536616187000073,6272636629217519226471351086317111843363,3273024224147310957615843557009656147,32133422489135864741713299297171653,1864981720471238794849339350000143
184,49039857307708443467467104868809893875799651909875269631,3534809609379943403905186656956453151639168891,9950160654235669283444778259884666516326,4905595356973504349604405689366011605,46099743064402674246158005285997511,2595178704564204204270789706040150
185,98079714615416886934934209737619787751599303819750539263,6362660142049055939443224430281520283983538655,15760247367198815819732336065326940959698,7325435549643705030417675327508503083,66131620804440924256749179581059854,3611711732112258451927648559839160
186,196159429230833773869868419475239575503198607639501078527,10604434800444104049845614283075588350166064820,25093951625291697025050957714374277738985,10979802809345298083137772725947218581,94864974061686083848425141304007002,5024846273250649606417792057477961
187,392318858461667547739736838950479151006397215279002157055,19087990089538474069166367043737784581007700319,39805823403543002226077947690303900412589,16403371593871803924145201828375945697,136083197699421275699930018761202556,6992021827723212381480839825413096
188,784637716923335095479473677900958302012794430558004314111,31813320037027892238503590914326217674803837150,63048871887740348634416969805980114171424,24583587139135896928275549552966065905,195195866562132092035390292371598376,9725796166419220883718788864514890
189,1569275433846670190958947355801916604025588861116008628223,57263995567702308586916624206338198893157803358,100387799354320544236195719619195446490891,36708012560385636740762233664194589283,279963916029874331057098118079161978,13530676729688315852297756183433990
190,3138550867693340381917894711603833208051177722232017256447,95440001045866143183895043883202950798851856732,159241540318396802272173926039134756383064,55016531264239817536743117350533297314,401518005789866606493386555179964525,18817730747932688329928161554773044
191,6277101735386680763835789423207666416102355444464034512895,171792052936976278687779829348628077197592408284,252223249214888460634692145272256117036279,82187675239509619040743448664798041401,575832515061766622501008666369565142,26174000521985326623627352849269634
192,12554203470773361527671578846415332832204710888928069025791,286320110306250248947099359519446630689114913881,401593435658648657404240870851511561042271,123166259220507530984023533571233297130,825830945517765110170539018329108802,36395095695343223868291149011960618
193,25108406941546723055343157692830665664409421777856138051583,515376332213450008544239997673864165590543467612,637030424894740817558362006872200388388078,183901002263938249691795377075470685092,1184284047725011724880453461962004419,50615941721668270235278175763076529
194,50216813883093446110686315385661331328818843555712276103167,858960611489923738717612816056157604357670328283,1008990770952494766681183718685436611008375,275607350298516908292827329576140979591,1698197406112127076089749951864978893,70368875426197220608078319308484657
195,100433627766186892221372630771322662657637687111424552206335,1546129450614044190306847890204447493433898033775,1606522501117124391878608795782948517717613,411701001518866460121056567294029688086,2434972878631461783255912021746977567,97846941999717663734797849980152475
196,200867255532373784442745261542645325315275374222849104412671,2576882569014638372703281082849145522025604202625,2548348027860173463527573723266741036704703,616939877271962758236003533840359395304,3491324283001219676562581884100801239,136010754092318914467856983152538367
197,401734511064747568885490523085290650630550748445698208825343,4638389540360693892778939502590984886664906552925,4036307429952986035917251465560170289294560,921116250960128528934511212623643415992,5006010863660157242350895224237140478,189084585796424869362338472965755042
198,803469022129495137770981046170581301261101496891396417650687,7730649630107343596518681715205751681392618277450,6426613907642173426800641752826977966206991,1380378840096745177936773620110492471351,7177367366388190302033734847219136629,262793328198227390553424443186888121
199,1606938044258990275541962092341162602522202993782792835301375,13915171732664071479871703406637141583170440985525,10194189199072579806001787059415752861956091,2061908976857151857793222755670313002783,10289828573571226958798990116238324153,365296467820363088964920079446587306
200,3213876088517980551083924184682325205044405987565585670602751,23191953924967449069499768511139757082669381828876,16146442439691229822826709611755173547890443,3089647216442998770991957714257793399223,14751177374903631702129482073534869370,507611271452229987546702389868636933
201,6427752177035961102167848369364650410088811975131171341205503,41745523344219622523629019684754572514171977690804,25708300707112365554948410145739540202032237,4612772196004954463561228769427556454150,21146429895093671338236523557759680111,705491223921618613674888392646187444
202,12855504354071922204335696738729300820177623950262342682411007,69575874955775173572456938363784921051160327217586,40779563959091146673848107421450913374781376,6912346286057207015416075757893512155651,30314786994875744190279176607727466904,980204541333098206550378328061323405
203,25711008708143844408671393477458601640355247900524685364822015,125236591359759102023929203750385432716315582359306,64590040667190012798115088276578297039753066,10324735120233633368311073699051952903813,43455584983475145164623034313937074888,1362072568629618742166590611011600688
204,51422017416287688817342786954917203280710495801049370729644031,208727659375298581534370592617842128130432812670815,102839700719692426082834122159517499091942691,15470314552198000043058324970167865642024,62288527201062986317070148786970862475,1892186849375045015389984790598605228
205,102844034832575377634685573909834406561420991602098741459288063,375709829914350601351970738275591213511671853026082,163128141913884246517000445969713955329961742,23095947323910338708086539036436953972385,89278694662749392428885550554116311229,2629067936251465283139568019445468968
206,205688069665150755269371147819668813122841983204197482918576127,626183068468942100700294682404448664730975374978873,258375203612635841002936964224637151422195323,34608366627776208698662842814442523347942,127961987120365569834717597485013363226,3651737041299324717034698961660540868
207,411376139330301510538742295639337626245683966408394965837152255,1127129635921171455453560656005782506661364853279061,411381686551874683359469002905416085270862416,51691448573058060251943063877203298906517,183409831113357226310132374346269325172,5073093044489862134291276153346031250
208,822752278660603021077484591278675252491367932816789931674304511,1878549441927992309595715392943277140658952356104071,652547383412546292043655066147358616223027733,77450073277168923668617481414427750629620,262869079639756739555428934429865232597,7045564120067971176303044482133786336
209,1645504557321206042154969182557350504982735865633579863348609023,3381389290462800025293726574133590873424364587777691,1033553783905696260007617610065935140006060682,115622880194694977657899423115161841646241,376729305636740444256673121593931945419,9786300174733822268629167225389257484
210,3291009114642412084309938365114701009965471731267159726697218047,5635648945004428595215022130676005921883153327420384,1645607335024121300076537743349756143558059556,173249871744258741032438035204279004888076,539881152576017216064540746951842003280,13589577998994533233484943736242077717
211,6582018229284824168619876730229402019930943462534319453394436095,10144168873308137401323229918777797155315449055526027,2610312142995197596634482280584350523711719529,258759564695337728196978830334554809339054,773680579023348882758481202166449020604,18874192677277007528521937710843336183
212,13164036458569648337239753460458804039861886925068638906788872191,16906948456153474777514992540251216800598111533562490,4134401675621352550819293856755641471394671281,387689737013148941050850134900826965741527,1108753428732269083516815887295205195522,26205680982350786567199997320562394986
