n,matrix_size,m,a,reduced_numerator
30,31,4,1,523827811845807022473069412697450810840202138552146390343923852550252328373526611242634304443288124903155859584171121522190194441642368311822810617101824229763752012138871400338141475333310613748352834274204391111543458179386779419426670226906155229104912130390217334114948465567997725583506626760079327284282190636044973095394755719877387745505253662881688145891886121778965082712737352645959266197863386104570006162250453485561771001996794496786970643305368320196449988307824326955983391060400307901108132237578916039599486559805293158850454806147553660894103328655100818563235679005646554430079461326485138236231102341411657846260093852444901136796765137831897844865351140917190023079525082293317414748034454180435686945722914901460093887155049566784630708713973253922095471423612774856523776
31,32,4,1,50172736614702193476010968685027850385725009984025754056752351897843540836727791310381960450640875187526127726743042077209009344297825833306791007079122302230257203282437017967319010464223403411666028891130176909178099340433873790449696141722887908379766592991480784511678588901194608305160012368897433073139024954535368556203311682248348132318295329821383241290835531777849305693041041567149516614437907351900261582473684954345924071473123034130274134722954297790455372889453739340801985909201900859696589364708551884000815765385640619922267443118020140789791084738002770787452810244806002844531297159666640599398253866669734555265873912487067788750536758461265538846803163989987905143549491955559219046972218912619029970610724339486044100503651037465691797221960390994444244006704352888836634150488713713548412324761281525404083023713782816833536
32,33,4,1,78734843018311499323619764049712160937005689327157357809031553866243763239339068721623044341669981413275497552259315514144824587577487156709445278852182293199037398422774081114433492487127082683047982607344440346651806612204395200858437808461356184114770986163882428276767583260910496339437626624342191866151916971102778838651956038767143705750575665721845790584553670420634195326943255283387554590879226224862982288252206635848450842167279024273357605918193833212767148064750147299966107697967837108721715741707564614597367155979798308193455372530987687821152758112773155328659843216371301718377339392072559710350125760875738490082737860080629368070486671051791686186882698286120282341216151759872539548619829894311060517146751501226383829038215813664873195770090903053386409834921032379967808138912043232087982335921024372965075246288222392999184008651000907193541114322656793585527819425217166719320064
33,34,4,1,1976906478982563993654226439837963340315390682625773828918265710158340601093951126756295848974613063099294244703164628428967968057547050608904859234600159014229329102195101574081057061661948106884800321129818693914608845281661462333814326544389741164009367602548103882724187831587394954463183137735657307019637359169290834318700453890617892714561362370427388384101316010134426924662084888461376218489653794242999053891151382465888482003300085676110173467997003494159830094271947506024974271953414706038068210170338961663202839203641120865263292248718692924915189291455200665479606951612257868495299167071771306894428954788679149900427954823300393640007649397742106635573828425752730305375232721339803871889299281134208211131341001135605446809477409979279627213188610112867929569789492640465736633925065052540962862027736312499143902692033755536952046162410311395501619568814547777271031259247973250866583116853615908352881305587297178183145388745781297002238181376
34,35,4,1,3176766231019168047779935388200097820433440940018864273811639933063724010036462572464536816452463822043693039747533696923500251937487517949404356825600544036344455908035583560540390217230299228602535954416742432484892734669356970162868285225878336857345442727250597155312251875886802639364567083582236778759931726123102495613076389466063225796848630163810544079872327896179184153761054749292796905880507931009486609892811110825603694618585322639248116766765050579745484946965056582381132478729923878282245619922116715577966205714978741578170013967068028294346726708507859037228305980369719464988185053860432163694086015799484788203870845452716919147023869426651895842082422654084581075172593123188508708387881668236955343499055473420964837200145534202872959710979570829211463259007604711111155717266691130748436466678936079838497378063205351871612003168426046789832815236181136338724542174324145370814195021543696092995150220967056346092858553590550584450399115760931106863321194276388088237585666814431669877909775110373376
35,36,4,1,81677864229471129451373482425092510721626735423044825876782153436543152410479827350822141877209816392693622669337564226039311150663137308508944168799784853723863987043570183060026151833386447076392598157829553412203437872366204581857329454786262136099671037647638032062408773582373629492148894672734797660346120389923902842427901527819798669996893573895783882411814137344979084643660155044613669979713982646880291753919604064686541743018000948929159652997701809296293540424782704046681331970424520380641690833186127768900808409971951910383963146271609221501772022947465179247020257986659178094425991031436697305720351797660009529182205164689979293088811942922976353665277081758255907059432748819492093952299254169733523104689479865934275364832747609322928471826185660394921082884522122972123388230484860726180691525038440743592634123170155836009068246833597573022916097309962136213031730061310103709874958344788944988610240243697093462751400065924510128683299365544948384757917380493859451656329816407165717983004323198318196143959194529698795550557487898519839499214676659597545046016
0,1,5,1,1
1,2,5,1,25
2,3,5,1,15625
3,4,5,1,244140625
4,5,5,1,95367431640625
5,6,5,1,23283064365386962890625
6,7,5,1,142108547152020037174224853515625
7,8,5,1,21684043449710088680149056017398834228515625
8,9,5,1,82718061255302767487140869206996285356581211090087890625
9,10,5,1,7888609052210118054117285652827862296732064351090230047702789306640625
10,11,5,1,470197740328915003187494614888898271127466222708835008603500682511366903781890869140625
11,12,5,1,700649232162408535461864791644958065640130970938257885878534141944895541342930300743319094181060791015625
12,13,5,1,26101217871994098106841176437026190222804657032275866191034545821878892978389944908891584507415473126457072794437408447265625
13,14,5,1,24308653429145084793531500210078610314805672534067059113676236776522261070450716567124784465334818816238150740449697195799672044813632965087890625
14,15,5,1,565979942426669522969319955680486986292658199883696136848913430620968832412052819671220715747559881215872027456054864353492670804579578458515243255533277988433837890625
15,16,5,1,8236092143148846269022323477554702349773407329975396523498252363365737727320124681445605758163727022705600065179967559430117701479751536077168468262727808737455603704802342690527439117431640625
16,17,5,1,2996272867003006929379743624869553004745614936828277322455779490470645297071359775671446462425129365403554426004108812569072215948745555970951852309636818513338077065710364946618006476430906559471623040735721588134765625
17,18,5,1,27250942976052164607424343783982776628778219099588362245920320587817016503971533672224236055855084172467781409105635362439645322854135483530188615164996176766527033266451007390223880760740090040341083665550482584283287224025116302073001861572265625
18,19,5,1,6196147063758909236508849013258162956112350707278065384780420706151066156956297543780291574843223355052892068012087148062993338238387760504835708881045360787203897704432849284381491261397079606545294988234327907840290032260126350154906017808631446541767218150198459625244140625
19,20,5,1,35221018286841338274989817666995366813082175140596435680779567895519142876743771602038416260957224921258398740133584101744152907476676321635043841985437670628038504812780327508684713742451774615718107885608832861182065882190536002297597052623993059465688123453892669802167691983640906983055174350738525390625
20,21,5,1,125130193448943807776849075946029780983373936253842500153082425724161705022452549947468072350024303749401606254329465534681819276402863471400351052357669596759274472265063336027014577718048025956385444195038420151824943652451821671070309536673878836643638562456333821878358818877220340166385790150863945024983792109196656383574008941650390625
21,22,5,1,11113793747425387417213567071352800484562622807324538967417952914843378044769344188177846208811443751098977928244823368569333446167745147139558441683042175608100385654447647001587158552209191416116724244304096571751556124181432287573861609135572944197502082138158902846779236284399802429446583409499277996788872267792372417678415614052979398795883980710641480982303619384765625
22,23,5,1,24677579418653533365665280355456091509053490734181355231542271766106151453289073023750979560401050407978335972647040127568492820326329411394624550453263224465639570702641163450124303207398471595982956659618638032841611283222232414877565196710424864517956682648322847765729984380377986917679729937933958964866026403833504194015126240853107206331982183457366366546422974137010852846429997953237034380435943603515625
23,24,5,1,1369880843130251899845433191963200520394255451327522889545377880244134219572209211421341932291065335734932871405824535291833755641728832063964946289162007112862860552939878924789923920057792083636747185716377896593876699783533657788090764734791052987692243783541970345892234938188657784468012509223264703543178422364329460348693414720350603271502697625270703970869089157569911832458830922189920408251536865424681510550186658292659558355808258056640625
