n,T,rho,theta_mod_1,psi,actual,G0,G1,G2,rel0,rel1,rel2
62,1519.21056385965340125199282937846617250385122,66.2081195405283779677502405078801236454339059,0.150814581417341375110165188882015782860551874,0.00000209546927797163635292229282947184197482812492,2.1684043449710088680149056017398834228515625e-19,2.02056039055392195072743192235842361116902378e-19,2.17114703765854306248555334450944502933309939e-19,2.16830490271591326342706668097538284034001698e-19,-0.0681809897494295794542755173111807843251286995,0.0012648437519944481216220473036786384905135942,-0.0000458596457465289347967747490266467356511768103
63,1566.41414306618032905435846618774438128073981,67.2288318533040347282744096848491593936828606,0.171526894192998135634334365851051531109506521,0.00000203160541065827274420329698671893822669520235,1.08420217248550443400745280086994171142578125e-19,1.01123274489671615808213736262002386037670875e-19,1.08553536914067150832663829004854161926613896e-19,1.08415449821980685166165256160651758620978036e-19,-0.0673024177967729192720710427928365538048176154,0.00122965687488963124316525125130568260214454255,-0.0000439717489112665850043666497653249048011759254
64,1614.32564307324399369325957177388808542046395,68.2492432139969723586325690028854198827779378,0.191938254885935765992493683887312020204583729,0.00000193504838765543134433024494914557402613605307,5.42101086242752217003726400434970855712890625e-20,5.06079763389284237507082659822253326187651034e-20,5.42749414957209606613867462255901220942563245e-20,5.42078215871469072563827019800948322093417682e-20,-0.0664476123874388886116134381596294908920954477,0.00119595538712325838889638562001910025491857384,-0.000042188388593088181041927955791817459972553288
65,1662.9448443771328281631840013099890660463535,69.269362350966657872964328507742688451726656,0.212057391855621280324253188744580589153301943,0.00000180876046505049740450411889408204128532993707,2.71050543121376108501863200217485427856445313e-20,2.5326539969530219498696408500128932340670273e-20,2.71365952607515907106245221215289733793410744e-20,2.71039564941076994985799654000264720469088713e-20,-0.0656155978190006710099284745354501021285200106,0.00116365561384822097307798827413238684738675109,-0.0000405023364745574410342773665135971415414631132
66,1712.27153396273074649642346686555024554431288,70.2891976153287715133244886609994509353333314,0.231892656217734920684413342001343072759977394,0.00000165598599344135576412597339140951594216173021,1.35525271560688054250931600108742713928222656e-20,1.26742495102258939315333945989212896098281794e-20,1.3567877829204117976532766196955529834978182e-20,1.35519998684422446129865961444762140197093123e-20,-0.0648054518340972160231667752664575008030211052,0.00113267975474511692080364735235057983983366873,-0.000038906959601604143553386702507253847181082702
67,1762.3055050183851215583197083560925482061083,71.3087570025076854197463735473273040727116748,0.251452043396648827106298228329196210138320739,0.00000148016971784009671987982148760455411977341168,6.77626357803440271254658000543713569641113281e-21,6.34247224254923621178666785894625487431428735e-21,6.78373749448403540448109698690431243289197937e-21,6.77601017177251614254706519088661195257920887e-21,-0.0640163019767003765632908593513969955609998769,0.00110295539179729753971817512932847998480813183,-0.0000373961636775758060758052250993670916606221113
68,1813.04655666731417118013379328084438163003218,72.3280481722650266292659335284915179133208171,0.27074321315399003662585820949341005074746303,0.00000128488132378749944871411701460206721806130954,3.38813178901720135627329000271856784820556641e-21,3.17384152595011157287120325851837033125983324e-21,3.39177204878492517828227491339819207701530615e-21,3.38800993708512532617443192039378540951180692e-21,-0.0632473222445839882525378575461904207722791874,0.00107441504475236356073596122198342807288968801,-0.0000359643424942970727487552573493744649088649984
69,1864.49449371436570965508045144003555727381499,73.3470784673322072216961245098436921610625699,0.289773508221170629056049190845584298489215869,0.00000107374675684770569078682979423674314231891948,1.6940658945086006781366450013592839241027832e-21,1.58819062161428693470017295320162489083122106e-21,1.6958395743326538350017596070867365339194294e-21,1.69400726910054719192855311284495620617615018e-21,-0.0624977300100980343397051110479624152533182606,0.0010469957690563446919653000573491790733669334,-0.0000346063327545424297321375886219813764661333335
70,1916.64912640704067711816553112717514802182865,74.3658549307624317865225156643640829769373881,0.308549971651395193882440345365975114364034083,0.000000850386617238978164674896530628520780646601592,8.47032947254300339068322500679641962051391602e-22,7.94714446851258545657007791012581906541311124e-22,8.47897461938098370314876410871983089115012649e-22,8.47004726341110618304700001359138409172885687e-22,-0.0617667831843316473785046417612219127836455247,0.0010206387916791180683124330626658430120375015,-0.0000333173736407778057879766676712025500059695281
71,1969.5102702097863252357670062468326244463889,75.3843843221066713185209770861549729688972571,0.327079362995634725880901767156865106323903089,0.000000618361741788148787634294511766354467553472436,4.23516473627150169534161250339820981025695801e-22,3.97659193035376399088668995864272510439418438e-22,4.23937994991240915860465115940700270341710272e-22,4.23502881683074208367894892029446979174359746e-22,-0.0610537776023741193921926822323511734131501358,0.00099528918079781644722706818514989887011748855,-0.000032093070570678821310181449403321893118118489
72,2023.07774559064652029760460178067130847836328,76.4026731325082590045205630555071157219329803,0.345368173397222411880487736509007859359626272,0.0000003811259287020040503755229023889738932000442,2.117582368135750847670806251699104905128479e-22,1.98976923709509932583731580379673573151243273e-22,2.1196383194247987363301276939612281701815492e-22,2.11751687266273888658680144356114426911627547e-22,-0.0603580446096998603805768719809268804170086245,0.000970895545781239129576011360006237563741976758,-0.0000309293626531378432816299775209536520060371808
73,2077.35137781943129535001207369662485874028911,77.4207275988019748929835135996704857368754576,0.363422639690938300343438280672377874302103541,0.000000141985633681262694771997562150867204181603697,1.0587911840678754238354031258495524525642395e-22,9.95603639170379343967083481343990923733272768e-23,1.05979429317405090596144240330663716354653099e-22,1.05875960827475415509727097987316525629720757e-22,-0.0596789488317512718563712471335252694253015514,0.000947409764332885007039672797122057685537297575,-0.0000298224934211810775252495768475266913818890065
74,2132.33099677663539533544624355586302692682074,78.4385537166956196199377137082184417513427907,0.38124875758458302729763838922033388876943663,-0.0000000959336345274326269853691237223517039203351961,5.29395592033937711917701562924776226282119751e-23,4.98152842067005429982388755030415762165754109e-23,5.29885170054495054791669409134712321215702886e-23,5.29380361860370912297965171317106383368813269e-23,-0.0590158861106070898186155269771315519355943027,0.000924786734011864851726304964874664195598301062,-0.0000287689844720567039198432118090504459374977769
75,2188.01643677239686540878320871029666714381118,79.4561572531050247194617461499437107379631005,0.398852293993988126821670830945602875389746434,-0.000000329714568071535302433050865994923774010074706,2.64697796016968855958850781462388113141059875e-23,2.49247840521677719272327002490643046569288047e-23,2.6493681393016517128453748252162866565927436e-23,2.64690446520749163373367468456440141978032086e-23,-0.0583682815942324420547332679981056356437301123,0.000902984145666980611299657868094474054228237143,-0.0000277656116910827425926796898155425141477354551
76,2244.40753637484239620998336691799961699369435,80.473543757707114868471689297614881244719612,0.416238798596078275831613978616773382146257931,-0.000000556669368979980179723673057969050546252111679,1.32348898008484427979425390731194056570529938e-23,1.24707656565413507670741595626628600499964363e-23,1.32465624743876954408904340503270936315112128e-23,1.32345349816085415064000951832572183268074815e-23,-0.0577355879652361508196537431178948803214150409,0.000881962276595937232983998754276712930289768508,-0.0000268093837757942883560722691882889857562154094
77,2301.50413824721674720030377582508635262005244,81.4907185737699438502192465843294494208594679,0.433413614658907257579171265331341558286113887,-0.000000774355557806605025173249624702562572160764878,6.61744490042422139897126953655970282852649689e-24,6.23947442203347888118413823512254596357041846e-24,6.62314704550213186124540840186434987418498118e-24,6.61727352499395911067708324697885819596097621e-24,-0.0571172837973327354413162974690870684839011857,0.000861683801484303642090365166775218141126034104,-0.0000258975228114558250162873929425317502075999944
78,2359.30608899323963911311399617084555051687852,82.5076868483134994349305942295051258231314007,0.450381889202462842290518910507017960558046623,-0.000000980586750640182336684656532549543229398780626,3.30872245021211069948563476827985141426324844e-24,3.12173704180432301781611338665454963804759553e-24,3.3115087704502224214614245375739580727951488e-24,3.30863964133741271907454519995831477837314037e-24,-0.0565128720288402240730533073347675606470042156,0.000842113619392010552874917123466260328973407902,-0.0000250274466789052741090949762262539285544775958
79,2417.81323901017549906106725317638384795838083,83.5244535416504499663439039460542584875807608,0.467148582539413373703828627056150625007406798,-0.00000117343888473804258090742924654492323438114207,1.65436122510605534974281738413992570713162422e-24,1.56184623760850462480383473254917979151855926e-24,1.65572312619524736015469383397572636568985852e-24,1.65432119493595052255183617631969086809420272e-24,-0.055921878543556840527237560002276323567745205,0.00082321869524275368895789599748500298275030594,-0.0000241967531016456190626519264480370070697931107
80,2477.02544234913976514899106680018984296193017,84.5410234363518320519219357785593700786898964,0.483718477240795459281860459561262216116542358,-0.00000135125237419576899237196073165846832837271451,8.27180612553027674871408692069962853565812111e-25,7.81401252105662651167941683106079699783792167e-25,8.27846466405577203269804313856216246421298669e-25,8.27161253875446344183719926670569441653477389e-25,-0.0553438508502642982030087875897735747407730248,0.000804967914436997060961629797734085609314590025,-0.0000234032051616655487491901594552142255418638149
81,2536.9425565822004745055161998035232014652482,85.5574011456789058566575008288431514050008841,0.500096186567869264017425509845043542427530087,-0.00000151263066976453130218877714508557827161883176,4.13590306276513837435704346034981426782906055e-25,3.90934508888392404287995591390965855236554102e-25,4.13915939138588942612733463763825330151567865e-25,4.13580940640605609634155253811735638521122909e-25,-0.0547783568529153569810379368502261426287259274,0.000787331949355208045850996140238631360476272065,-0.0000226447181331329937903567309340571245737818847
82,2597.56444267586589256683299040015618294757277,86.5735911215189893338955055397464651410143338,0.516286162407952741255430220748357278440979784,-0.00000165643568288166733104047199763626758908466156,2.06795153138256918717852173017490713391453028e-25,1.95581689329208900353804418974747219077107661e-25,2.06954443957459646095119249035764463466517317e-25,2.06790620323433909356547656558607660634295567e-25,-0.0542249837042894288705449099339361426039527878,0.000770283136646971625364659508420027178296664215,-0.0000219193475002717295739665337099614079522622099
83,2658.89096487057828025958459826066163160536858,87.589597661859987548096358043724454549713669,0.532292702748950955456282724726346687140314956,-0.0000017817805146883303571434144094407811760447139,1.03397576569128459358926086508745356695726514e-25,9.78468496484245252441504549935052256408523146e-26,1.0347551718302776195029377023857574306341141e-25,1.0339538192681704018187701030686824794322425e-25,-0.0536833367365519225001502639061910031052586541,0.000753795364315853951960163560700059668483627767,-0.0000212252780407469828720261906722819853236854909
84,2720.92199056586079656598994476748991826923732,88.6054249178355246877341728841597283780793754,0.548119958724488095094097565161620515506021354,-0.00000188801990757108672140908911216260183111968919,5.16987882845642296794630432543726783478632569e-26,4.89508406023977830804908692029653526670689167e-26,5.17369339236379715432628448834844386341731312e-26,5.16977253154010555789051640228167696646092516e-26,-0.0531530384627390714401265980696175756948883589,0.000737843967711155308020724130664005723749497214,-0.0000205608138690452162563571018827749457693409775
85,2783.65739021078922665964952878463508896238558,89.6210769003700348897689078949969892537259017,0.563771941258998297128832575998881391152547622,-0.0000019747388106996623035423841303504595170671122,2.58493941422821148397315216271863391739316285e-26,2.44888441712421304088078120140871852019618174e-26,2.58680678902363597926241406948573107555379029e-26,2.58488791094058566130349900734854471144768974e-26,-0.0526337276437175413039523794763103867448857931,0.000722405633627602703875668584465343805831941398,-0.0000199243693458866110807428786819801925975428585
