n,vertices,cardinality,count
31,92,24,1604273795228718985115
31,92,25,3455757410448842595620
31,92,26,6892121008038617761192
31,92,27,12724805945529706837884
31,92,28,21742648498622681077634
31,92,29,34367344952438671321776
31,92,30,50222607410585020294660
31,92,31,67804790609278330245944
31,92,32,84500550442709662201346
31,92,33,97111211588536732867532
31,92,34,102802615663341190081986
31,92,35,100119273711452823491488
31,92,36,89577627137567367100938
31,92,37,73513956851132241042264
31,92,38,55242274215216575626834
31,92,39,37936860230161983613596
31,92,40,23757299915452992591900
31,92,41,13533877302968630004716
31,92,42,6994346565595852980076
31,92,43,3269076557834983482812
31,92,44,1376964678589708622792
31,92,45,520575260540800632024
31,92,46,175824885629621762756
31,92,47,52766269239730364408
31,92,48,13981287169026257915
31,92,49,3246217710125159452
31,92,50,654520543795292936
31,92,51,113348884786770132
31,92,52,16633197858148594
31,92,53,2033260205994896
31,92,54,202543904818152
31,92,55,15968271612032
31,92,56,956852279920
31,92,57,41081688004
31,92,58,1151696894
31,92,59,17899704
31,92,60,108905
31,92,61,92
32,95,0,1
32,95,1,95
32,95,2,4465
32,95,3,138320
32,95,4,3174805
32,95,5,57543134
32,95,6,857207515
32,95,7,10786152370
32,95,8,116928838885
32,95,9,1108447547210
32,95,10,9295198128926
32,95,11,69586443730530
32,95,12,468506032077115
32,95,13,2853934907096215
32,95,14,15807548874354810
32,95,15,79939524577251395
32,95,16,370356514598603875
32,95,17,1576434654445560145
32,95,18,6179545019914643860
32,95,19,22351681684059403375
32,95,20,74719120120842244112
32,95,21,231143329486889243035
32,95,22,662370020808651410260
32,95,23,1759647274344341644475
32,95,24,4336079583992997180685
32,95,25,9914493757886068537035
32,95,26,21038850123006134645910
32,95,27,41433906131270673393550
32,95,28,75719812961869017539120
32,95,29,128368313881023897958100
32,95,30,201797974668308671553919
32,95,31,293999388497817246052905
32,95,32,396691359240293766380150
32,95,33,495323613590733680556335
32,95,34,571815810188132375910005
32,95,35,609679856739944331417164
32,95,36,599679030042866587146140
32,95,37,543427869190750238832720
32,95,38,453046792480492179991685
32,95,39,346916998921491651782585
32,95,40,243565530652675322716690
32,95,41,156477895549666587699285
32,95,42,91785973889732935128995
32,95,43,49035342715515924614060
32,95,44,23792481958344172887620
32,95,45,10451930957406403730376
32,95,46,4142083299417010920095
32,95,47,1474752684750384465955
32,95,48,469500753872112587165
32,95,49,132915145507730511545
32,95,50,33244911416990195047
32,95,51,7290593484039054320
32,95,52,1389006245391905150
32,95,53,227359233281506820
32,95,54,31536955285672595
32,95,55,3643464113873237
32,95,56,342855575999440
32,95,57,25511201569745
32,95,58,1440627786235
32,95,59,58150837505
32,95,60,1526829322
32,95,61,22084650
