x,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_7,mask_9,mask_11,mask_13,mask_15,mask_21,mask_23,mask_29,mask_31,mask_63
229,3,1,2,3,3,3,3,2,3,3,1,3,3,3,3,2,3
230,2,3,3,3,3,1,2,3,1,3,3,3,3,1,3,3,3
231,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3
232,1,3,3,2,3,1,3,3,3,3,3,1,3,1,1,2,3
233,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
234,3,3,2,3,3,1,3,2,1,3,3,3,3,1,3,2,3
235,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3
236,1,3,2,3,2,1,3,3,3,3,3,1,3,1,1,2,3
237,3,1,3,3,2,3,3,2,3,3,1,3,3,3,3,2,3
238,3,3,3,3,3,1,3,3,1,2,3,3,3,1,3,3,3
239,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3
240,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
241,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
242,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3
243,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
244,1,3,3,3,3,1,3,2,3,3,3,1,3,1,1,2,3
245,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
246,3,3,3,2,3,1,3,3,1,3,3,2,3,1,3,3,3
247,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
248,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
249,3,1,3,2,3,3,3,3,3,3,1,2,3,3,3,3,3
250,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3
251,2,3,3,2,3,2,2,3,3,3,3,3,3,3,2,3,3
252,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
253,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
254,3,3,3,2,3,1,3,3,1,3,3,2,3,1,3,3,3
255,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
256,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
257,3,1,2,3,3,3,3,2,3,3,1,3,3,3,3,2,3
258,2,3,3,3,3,1,2,3,1,3,3,3,3,1,3,3,3
259,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3
260,1,3,3,2,3,1,3,3,3,3,3,1,3,1,1,2,3
261,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
262,3,3,2,3,3,1,3,2,1,3,3,3,3,1,3,2,3
263,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3
264,1,3,2,3,2,1,3,3,3,3,3,1,3,1,1,2,3
