tower_level_m,mu_2m,mu_2m_plus_2_over_mu_2m,gap,leading_gap,gap_over_leading
126,9.3918574615492658e-12,0.93590694596122048,0.064093054038779518,0.063311745424602522,1.0123406582607559
127,8.789904633741674e-12,0.93630636994022154,0.063693630059778461,0.062903029029702101,1.012568568513657
128,8.230043699739399e-12,0.93670042898300487,0.063299571016995126,0.0625,1.012793136271922
129,7.7090854640947719e-12,0.93708923387431819,0.062910766125681805,0.062102536863746158,1.0130144323042538
130,7.2241009914202121e-12,0.93747289231429332,0.062527107685706684,0.061710521638680418,1.0132325254323313
131,6.7723988507972598e-12,0.93785150903423264,0.062148490965767356,0.061323839706392748,1.0134474824688553
132,6.3515044820019129e-12,0.93822518589142934,0.061774814108570664,0.0609423796921095,1.0136593684176225
133,5.9591414733164912e-12,0.93859402197322361,0.061405978026776387,0.060566033349633008,1.0138682464525055
134,5.5932145629475669e-12,0.93895811368900761,0.061041886310992388,0.060194695451177407,1.0140741780229143
135,5.2517941954831348e-12,0.93931755486175439,0.060682445138245611,0.059828263681858014,1.0142772229013661
136,4.9331024823383727e-12,0.93967243681326718,0.060327563186732824,0.05946663853860544,1.0144774392715754
137,4.6355004306284762e-12,0.94002284845009998,0.059977151549900021,0.059109723233288516,1.0146748837443889
138,4.3574763187910454e-12,0.94036887634332589,0.059631123656674112,0.058757423599841797,1.014869611417657
139,4.0976351095941875e-12,0.94071060480290358,0.059289395197096417,0.058409648005205088,1.0150616759719717
140,3.8546888022079605e-12,0.94104811595411031,0.058951884045889691,0.058066307263892621,1.0152511296778768
141,3.6274476349072073e-12,0.94138148980785252,0.058618510192147477,0.057727314556019822,1.015438023455306
142,3.4148120587489181e-12,0.94171080432934784,0.058289195670652161,0.057392585348624528,1.0156224069116468
143,3.2157654104779997e-12,0.94203613550153575,0.057963864498464246,0.0570620373201286,1.015804328423751
144,3.0293672199662046e-12,0.94235755739292304,0.05764244260707696,0.05673559028779384,1.0159838350968602
145,2.8547470938535424e-12,0.94267514221251181,0.057324857787488193,0.056413166138034029,1.016160972905215
146,2.6910991226791429e-12,0.94298896037160118,0.057011039628398819,0.056094688759452171,1.0163357866709304
147,2.5376767639521328e-12,0.94329908054019385,0.056700919459806154,0.055780083978478674,1.0165083200965197
148,2.3937881581442614e-12,0.94360556969959275,0.05639443030040725,0.055469279497492904,1.0166786158265524
149,2.2587918387058546e-12,0.94390849319496961,0.056091506805030389,0.055162204835316524,1.0168467154728176
150,2.1320928009139381e-12,0.94420791478652333,0.055792085213476672,0.054858791269972541,1.0170126596284483
151,2.0131388976823076e-12,0.94450389669552015,0.055496103304479849,0.054558971783609793,1.0171764879401848
152,1.9014175334502635e-12,0.94479649965238843,0.055203500347611567,0.054262681009497278,1.0173382391104049
153,1.796452629981487e-12,0.94508578294440826,0.054914217055591741,0.053969855180997721,1.0174979508732593
154,1.6978018403285949e-12,0.94537180445074842,0.054628195549251579,0.053680432082434421,1.0176556601735569
155,1.6050539893912453e-12,0.94565462069493711,0.054345379305062891,0.053394351001769279,1.0178114029939627
156,1.5178267215326737e-12,0.94593428687561509,0.054065713124384907,0.05311155268501442,1.0179652145556592
157,1.4357643374337626e-12,0.94621085691056284,0.053789143089437164,0.052831979292303356,1.0181171292454918
158,1.3585358040448269e-12,0.94648438347352748,0.05351561652647252,0.052555574355551291,1.0182671806500736
159,1.285832922918081e-12,0.94675491802876077,0.053245081971239228,0.052282282737637457,1.0184154016080988
160,1.2173686435359896e-12,0.94702251086680522,0.052977489133194777,0.052012050593046012,1.0185618242145955
161,1.1528755094519696e-12,0.94728721113866965,0.052712788861330351,0.051744825329904452,1.0187064798316459
162,1.0921042261388292e-12,0.94754906688728513,0.05245093311271487,0.051480555573361883,1.0188493991283789
163,1.0348223404215082e-12,0.94780812507917844,0.052191874920821557,0.051219191130252015,1.0189906120949075
164,9.8081302226495706e-13,0.94806443163601417,0.051935568363985829,0.050960682954988325,1.0191301480370383
165,9.2987394049482781e-13,0.94831803146140436,0.051681968538595635,0.05070498311664131,1.0192680356427075
166,8.8181622475731419e-13,0.94856896847190453,0.051431031528095472,0.05045204476715015,1.0194043029467608
167,8.3646350669983465e-13,0.94881728562231005,0.051182714377689953,0.050201822110623073,1.0195389773882195
168,7.9365103394905605e-13,0.94906302493322958,0.050936975066770418,0.049954270373683093,1.0196720858044006
169,7.5322485102107638e-13,0.94930622751640936,0.050693772483590638,0.049709345776817661,1.0198036544514748
170,7.1504104179442744e-13,0.94954693359901865,0.05045306640098135,0.04946700550669237,1.0199337090286489
171,6.7896502863334635e-13,0.94978518254933308,0.050214817450666915,0.049227207689391213,1.0200622746572834
