m,d,epsilon,order,scaled_cumulant,cumulant_limit,scaled_moment,moment_limit,moment_abs_error
6,3,0.045,10,-8.69670085610591201e-10+8.26471124069154893e-7j,0.0+0.0j,-0.00199736721408221799-0.00138583221563124477j,0.0+0.0j,0.00243105053788932281
6,3,0.045,12,-0.000656040142814415218-6.21297706568724319e-7j,0.0+0.0j,0.826225058159825913+0.00116315745957376264j,0.827748383303938859-1.37049268700885033e-81j,0.00191662588171213455
6,3,0.032,2,2.33020706679296441e-7-0.00615840286915175768j,0.0+0.0j,2.33020706679296441e-7-0.00615840286915175768j,0.0+0.0j,0.00615840287356025863
6,3,0.032,4,1.19306601211283521e-8-0.0000788275557940671027j,0.0+0.0j,-0.000113765846873312726-0.0000788361660063986159j,0.0+0.0j,0.00013841173716629121
6,3,0.032,6,0.0423273482762077068+7.20709087736803147e-6j,0.042328042328042328-3.50410062019308324e-83j,0.0423200661008741798+0.0000107091601914101234j,0.042328042328042328-3.50410062019308324e-83j,0.0000133531386513878884
6,3,0.032,8,-9.77359674761535303e-11+6.4575533290461429e-7j,0.0+0.0j,1.45223167341495175e-6-0.00729745458883552782j,0.0+0.0j,0.00729745473333637991
6,3,0.032,10,-5.68645610786857991e-11+1.50284867632263905e-7j,0.0+0.0j,-0.00101087919658426225-0.000700724379305187971j,0.0+0.0j,0.00122999650643385344
6,3,0.032,12,-0.000235915051732370437-8.03386621516205384e-8j,0.0+0.0j,0.82720056469044634+0.000418672057293320787j,0.827748383303938859-1.37049268700885033e-81j,0.000689486421075200333
6,3,0.023,2,6.21872672043617597e-8-0.00442635206356870855j,0.0+0.0j,6.21872672043617597e-8-0.00442635206356870855j,0.0+0.0j,0.00442635206400555317
6,3,0.023,4,2.28849143151129357e-9-0.0000407224389185191048j,0.0+0.0j,-0.0000587754892689436136-0.0000407240904949502112j,0.0+0.0j,0.0000715053122882810715
6,3,0.023,6,0.0423277847496813598+2.67604598924335794e-6j,0.042328042328042328-3.50410062019308324e-83j,0.0423250809170819459+3.97671174684851118e-6j,0.042328042328042328-3.50410062019308324e-83j,4.95824476945161147e-6
6,3,0.023,8,-9.68489573492990282e-12+1.72337361350098302e-7j,0.0+0.0j,3.87607798714987703e-7-0.00524567507847038167j,0.0+0.0j,0.0052456750927907316
6,3,0.023,10,-4.05004728949742351e-12+2.88273401836969374e-8j,0.0+0.0j,-0.000522377282239857256-0.000361983956606261172j,0.0+0.0j,0.000635539463637485739
6,3,0.023,12,-0.0000875979048143968932-1.10762244784576346e-8j,0.0+0.0j,0.827544968982059892+0.000155509471898192624j,0.827748383303938859-1.37049268700885033e-81j,0.000256048007599228858
6,3,0.016,2,1.4563585381758056e-8-0.00307920143566078386j,0.0+0.0j,1.4563585381758056e-8-0.00307920143566078386j,0.0+0.0j,0.00307920143569522429
6,3,0.016,4,3.72827785743294803e-10-0.0000197068891845921077j,0.0+0.0j,-0.0000284440716157042601-0.000019707158249870203j,0.0+0.0j,0.0000346040069408838831
6,3,0.016,6,0.0423279556316306832+9.00886362845126055e-7j,0.042328042328042328-3.50410062019308324e-83j,0.0423270454031949242+1.33879570843812695e-6j,0.042328042328042328-3.50410062019308324e-83j,1.66920133605971345e-6
6,3,0.016,8,-7.63551305173444542e-13+4.03597090459818787e-8j,0.0+0.0j,9.07776192329256972e-8-0.00364933685063939589j,0.0+0.0j,0.00364933685176844707
6,3,0.016,10,-2.22124015939589118e-13+4.69640250236243462e-9j,0.0+0.0j,-0.000252824541495891236-0.000175173443972336199j,0.0+0.0j,0.000307580858077574195
6,3,0.016,12,-0.0000294898059190618656-1.25529162044452386e-9j,0.0+0.0j,0.827679903527134417+0.0000523590514042687229j,0.827748383303938859-1.37049268700885033e-81j,0.0000862029587377431677
