n,a_m1,a_m2,a_m3,a_m4,a_m5,a_m6,a_m7,a_m8,a_m9,a_m10,a_m11,a_m12
182,2,2463598118461503351745035532865,1232666182499024144875746437716596484182809025458,731151928765555858463986524551299719145796603351122055652133,182129507900935141018519235923040475324541754086267822903652109297831,93182057082405323978689965548357956551220128254814845779921581577221172480,1175346407034369299880216354407335511018446520679811385346163779057872035516844,1546147781658251243712781058528970532867421356749754185688034909495873504441035124,459849276242405775606877489360626238537608183012847640129142975764404187559396961276,48268848537390838494905050921723326832119500412461801269907070056473273620586141206791,2356464106002401447268676649747323465062663161166476392989147732348499440408558834623568,64191880112283480306924615015185819237912429809669782281706400666502504617723604749130966
183,2,3610578529322913354126325985446,2251484333678799438387876591833458060532874742041,1541191319419878511609423321385211883847454983326897683393295,428607840517163747010785391727094670517434529187024378789150180841829,236370986733418212280434934956126989739839486382535840489469913958828554905,3145268836459167357508458479580432330594081852115052201443815068645450488727416,4308857870385012369914378723630503262413492843783161196828857614988901412184629203,1323421023382208840509814612696281366093135439981744081146400762562258792583375463003,142621552129311717416070768706874479259132690260264978995596776441416059582275294876089,7118031752980698702850137127590794685513551808841027313019383128545083876949098058344957,197583162436726743994111228337018670502611987042748860768306079356909057859947967841719765
184,2,5291560023007591533156872023296,4112371831517738004747943023150414935958227017027,3248579812591909055438020133380293379315943991309275786611136,1008635103785322871262703289991548529826037650270850630300453896255220,599587537325732125443392846208635071518327446754012419061719379696834516362,8416786953850693041965309318629742305303158931266376671325065067965925332301358,12007967821847983954977070980065856432781090406304458021997306397948614834273497355,3808693317612676214716326026921883987220934812162234462827454474497432433808617634819,421403399701891187620132903889904769258826004196116117154767550489882641273059092001902,21500714583162800360312938280086973987596960124680287886296273447904680592293613913533139,608153121677707927091916150123618273383375303370840171837179490609226527355979057721078546
185,2,7755158141469094884901907555983,7511312324663680954531453729031877398139802105952,6847290050862455033694512903445097587213352111407347676302757,2373571525465539545148230686242370324259654288716883557531157896724228,1520924512896743189294614797703709554351731612391418604511802509049923088116,22523280624277564180512908264476497349690611071447372865467632795810427163680640,33463635720445759342480799325345697863043674404888653151989670079365000544787065310,10960983446854863851570126959519982023336151598565515628700577964762163931435217525620,1245104110210919548302939684631434898471913371099585051852223460386020517268249016327385,64944122416828830705369090411895707317012054955196519000524221492180721357242147987673509,1871842177864473527974926823751255270253099108661359210876113970208767047599959389853398489
186,2,11365736670792008239028233541250,13719530960762781734976625349337055819463459141186,14432189993630832145340950533008686566296283444226967592422266,5585537201004556665758170453986773996140747881898832682451269915521293,3857975199897826737734838442948125494583137469521036173173009135195124989233,60271747968063469753792159690054277296905730126462723567759667522625871855474092,93255203746029078020903524423226088082234675454359905357863268394962605681817700906,31544138599238594403917517307422761086148537984299080715787699594786065013917932854292,3678816709837035038776350672207479533601569120946598179292463644064657879637024342883243,196164718422308984553032408236091303768434404139255346374670348160747673719035459041571507,5761278970981113433684079204171309894812796854146405283202142697375174962066642641444659997
187,2,16657296693799599772185105564366,25058940583236062875101474507342979984668826914497,30418248872438070888972896147873508443190282425725398809170990,13143833744681618140418942754088826718001737268110806771177426798742002,9786062570947451409743907214922260973232985590861608797198544211829774269996,161284571266013086738825344458883406508069072137508305493046280043896700961113197,259877959731236010483265285749849793766345633082055037285735797618788710226413200546,90778612881680291910341410395508639375400267595331530313925471145334984769518857563885,10869400235889376722467006469517817567894070573109940535810531198144022609495607022979061,592510614082615208800173653171914894417689091863932241806745830687262348762840680811925677,17732177651513710678073810454821868425132874887733168058495640562565941426265288754031667234
188,2,24412454835268694657087013120168,45770551725833241975751583622375018693905576802697,64109850873905908958081851075567541231417739663267597680133634,30929560497872060915513859033030927044847418504463569008534516730175797,24822950586652636529365104302671117111042303439009435110900275799307224487635,431587473139893794561716090048867000244472018052417052889768319087535693399044398,724206337402268965924019521190816159111924488486978670502628027060158952796348683180,261242732355190931239801114022587881036241029419059575713332263369104474473308662453014,32114269713738083727364038222489329782647347507912055745981604879446487577007191080592080,1789639915590249608037922592908543719570817245397723026196020262513144984775118785866002239,54575640096150492158979140175810722516985735965766653498496271505742232958373274288781022111
189,2,35778191506060702896115246661236,83600637193700112484381082481080022659934623237072,135115146632737383427986214877435049831443943450771089572425709,72781352529106615032875089497096351767547541618373830917049598423746182,62964498185435994659250572775988645887609014689818405626427038268494433563021,1154893338368827797008691409659960093410412741333455190412632658745107885089940770,2018142220246980887352786095409008876265726946641405846689823913421366522607478833784,751797333734423207716555091829604880450705915564506174036827012907126553658020994768350,94882397667736331471899298680435556894005180037912755710206299264008561828196648342771287,5405421505399742950389491540737838219192932922865317543257770839951043569320715998457053610,167969063027631683871336136973001986125335646169514964339268036195036445370180954793440708060
190,2,52435488199860302668300352225419,152697886737529420312220045438490929963900306187789,284755514545746040485312412976242600490518630824033178023622901,171262103156844153330959171381758017722147070478522307635632124833937108,159711095685594029249373911721687084623459045787756050396993269724117500617227,3090381023710339095733375752138168838114657189154680245286557637489931708327749289,5623903549349065174251395416656755862465906614891341787963672414794625102295552897621,2163482144908086737595731660266291134405876091570534405952730162328827993281298079907580,280329285888215480778721891507002679674392204874707489324465083116456053920363029129758594,16326306766629378742383811418115589058217748806048240223522731538975707459849123162586494935,516955973329781971494251447062263774261281769427896515564286488763676438235104263323363757471
191,2,76847943035128997325387365345403,278905105844177027603893685588666033786634609796788,600107712031024871247623958934357641941813114333442301602784973,402992808578248861015292644153799556637514652854153376262140486329444802,405108633600641204485546476249366660085904414982389906555083744480341623105387,8269501938272755821123975329497629637810144250015862196983794119772428729390204050,15671864948955556770944854348378168129002357290208242736909223242816567612919474627747,6225896550455655747174484006524431764680552335650415423686626967726074158120369707979868,828221686227745804343936953150387040637474624581662223961238340590611520108426802506439877,49310671096579599999923366287393563931819463753640297983302040930101410136653817613829706154,1591005608915766673476173653960361673558128616170381611108169661644046180448824533996468041056
192,2,112626134541189700221502612006454,509424587181168127982940266749985338455400064953868,1264664566994944581042026586382070328484697419092068806428471836,948261862349741189895279314131563939930229423571895024508186908264328160,1027554918202297516588140079786935095418589881835724535516271513608617523617693,22128089317049642076729226657483242398751102716037028480565712085428374161504710765,43671719173569342330766197564776128886643333826936687959394782144161779015688253401669,17916229382284135689402986566391803066841589267433949780166654587320313826741776908143033,2446921957953089202657048261952250066397667668742222380894139758648044385356325975575645742,148932177319765877386657628490396970763707804888254794946066545589174929850551320740796545941,4896478526201271257048823411674928059356756513962528910777966514926955571195818665768788268684
193,2,165061622741050002889802964231687,930472064223980755082392870408564517054827762003084,2665082699461542862222696839129351455243170530294871121412106598,2231281311489208204769422375069018783222037449995698584845614625607244002,2606368296220894371938720538613198884123238498445775927558805949768806718448325,59211461223955204095533044147612213994058043059481988402391555427697868244635085061,121696127091874388591098459523842532685625813151243102935136954339100908215229074332119,51556987573201130579800804343293198804361748220606786052226934935288784804966071411295114,7229181286187445341705877840700902774409621360205387867097226752213383455222888580238364254,449811877901079045400131220660356064249520801696909056254102683014236039346724284658403668269,15069196043052747649010596944496455056847045014668446541646481852158111061588487788843498569412
194,2,241909565776179000215190329576903,1699521936403478990638352172309208755718588525003784,5616106593660602588653036567345755175215228378152673886605472328,5250195995053101559971075319609851952223352216081008391484702408233468800,6610948718782682581478693175012275991898630890126566101060755414628624324081216,158440062134995674915641845471340333460914601360610899000833531481077239491480290183,339117462594067515625120254159055717835895963133130866388707485500759685619743256230240,148362702334396912456833228955776044061531988412129277186106006226020565996293602379746760,21357660214103005074575027453732964999263893609342351676132144886570639746214700432116175244,1358526591156867230673881742585504974181935746237938597383796319123881841965914626804845439304,46375701230991953223769693956471857035573517688218584167256152309467327884359309342481174644096
195,2,354535700317368700436692941583169,3104203682101810617108005674212037101181685193647884,11834486581959164947432624423374049396864633050468074003849965423,12353554537507102027530409297889961400422059351806170332107615501114522728,16768303137481140924504679468230191009339567508483226844693655217025410428193054,423956845258967856003597236285807622894705675833067385894760411930270056749660105177,944975491255158318257839099466332731282488160341003706940991524813774204712262745711342,426931590403505278218135927300125055422814670079999984883885112644475690246809804509369359,63097749669878546998875292914760158744954595983845076752359655574688741862134542503293111754,4102988482816570277659834327235009690006832984695166601081590804844068000956327474475652484317,142720107860780801794167720206440120786891191542622967592794948090539559429764276959084035406144
196,2,519597323058418703326495905814667,5669877087075829095376948445579338405412035238267761,24937507368557302940442128551078488151046554919848017953649915962,29067231878267283541563676417955077266848057549241872974009873251718995136,42531610641809762081068793550698862206022820627201660027285881753722600000171096,1134424979542462843661130717508159537339405640031209729749694422911324446061041694085,2633225149910265471945274519961369050140402541926722226112418497864030630516744389664429,1228537095324833028873929903259184218543529199802203477166672497077256484316954424871303897,186410249884310275859263062571082130343032649184445019446161825136267690696799703703086208878,12391602333528729272818743817354053895812969129153912424908803323769602049869257548557699171268,439212002562214296801460837624139284760128714537562276200490093153283274203289769802414925722712
197,2,761506888834597703541686235391380,10356120097833498606822180857435906879566318932204178,52546804734700587993519786834805173727213385916788399458628822376,68392867895880532263126761036250529097318417167639063295888006699423128924,107877776425807681851654107161347551696148970661529013141680035062733974665195640,3035480510237108954065991549529227748548699801101326269788528528588850264601167646521,7337575209161597370171145586851083518795752560952672441563632729148522680115983882083031,3535206242595510377302476401312890783874660922694023528993400477828525281471801546026802761,550708150802045919815406302277175226071621110080335002032757559612897247365660270636309432769,37423959700990019160850222083967552215427066067836864287129594984750334456336580848803331011778,1351629559939154238826065289034757426440179574741901465779363704073955483881102309411838766139084
198,2,1116042589151966403978379176974358,18915616988192377988974060926814877358103437256662614,110720833074990677396783236712661558711362524123926895668807704901,160921265636852277011882075411420028240414663906132101907710894496549113399,273621137885951817713227126682245819098379512542371583823230932490542342751210403,8122256708150799737293401082763994794279797340754346630055670001994259403136209621062,20446280789504806063436734378337477493089781085287157085687175970936560015431777459466886,10172736693538741663338913249595559604671369482714862890616640698410918392487252409670287721,1626930849523519934545565045149166550553722476440176722393222234545120458063772544813506233509,113023092770461633166410372746141177365793440977958657408402887167037805770688852312359262146834,4159447968253430603319122953650532737381984517079438252762515280373701426632733467607116863450040
199,2,1635639912210385107304875082788833,34549673261572329665650138264984747820704592432482155,233293288969147296648261728814149121772878143360462897902871128647,378627042483353361473690214041304368810727230755742702676558226775754677744,694008614415192922489032205358086011837333222612277542701903817922957778430793909,21733197359320421019054057960283237745084115489477335801066527269852034755806764215206,56973555061492073760919064274660792521588722253466643638756811265100815477244730610071334,29272343081526317597288668633616299568061946756207640615318221371633099459885711533066498852,4806319456177031749278445855541821156154595017595514574554192031811716617332172923305881983024,341334274634868388736250425651071101999500545865552609741622300671575685673550364811098990231080,12799951651724904878216530826264455484211566042762929098057636412234587351483533728695017709011708
200,2,2397146801044982810846561318180020,63105523968448830201338695803103106523390234582626387,491547081616442036340170035138125827256499364758095816660521736173,890851802606216324769502224951405408991479822495275823544007166444416602602,1760263529634697634365220889407523822706366692715763803300417345374836830050939657,58152479843001314483613722467255232367060422484111270127807806153649678222958387204845,158755807589755177936060997196368256127210829013912909226295690601084850836842774081315621,84231371262803175199188190312263202722418182253477770823103821416990444385680023506055359198,14198818071417327790468469186687277577507746859844412134199855189572002531491203397958254449646,1030832145705733247472869860572714103570604088229210996636024278780017065881041089685542294940837,39389064343126179366908158218904998792917498303854097151251695411084083985586661793780475086718014
