n,degree,coefficient
39,67,595932161
39,68,134390679
39,69,26894663
39,70,4710840
39,71,709107
39,72,89428
39,73,9102
39,74,704
39,75,37
39,76,1
40,0,1
40,1,0
40,2,39
40,3,38
40,4,778
40,5,1442
40,6,11172
40,7,27862
40,8,131879
40,9,370058
40,10,1338109
40,11,3817472
40,12,11790660
40,13,32538800
40,14,90569689
40,15,237021462
40,16,609593161
40,17,1504092146
40,18,3616818897
40,19,8411054344
40,20,19022834222
40,21,41748042416
40,22,89089022277
40,23,184761499254
40,24,372682345006
40,25,731089659778
40,26,1395176955599
40,27,2589995271164
40,28,4677282658648
40,29,8216084560196
40,30,14036374224477
40,31,23316730305194
40,32,37651761062215
40,33,59082564892190
40,34,90056592163853
40,35,133275577295908
40,36,191396354811642
40,37,266566068430820
40,38,359811721650595
40,39,470355625100374
40,40,594989534200782
40,41,727687920046626
40,42,859654993602157
40,43,979954967076744
40,44,1076763480135756
40,45,1139111651636680
40,46,1158816029834349
40,47,1132158804289590
40,48,1060866028741400
40,49,952060169530498
40,50,817118823806228
40,51,669678607039942
40,52,523274135580372
40,53,389199980368554
40,54,275088854759593
40,55,184450786224852
40,56,117116254298457
40,57,70286289614132
40,58,39791196219544
40,59,21206129583068
40,60,10615139462964
40,61,4978896529012
40,62,2182423599650
40,63,891409559480
40,64,338165856349
40,65,118710286952
40,66,38397731751
40,67,11387529662
40,68,3078339754
40,69,753200266
40,70,165375240
40,71,32234214
40,72,5500975
40,73,806970
40,74,99198
40,75,9842
40,76,742
40,77,38
40,78,1
