m,u,v,g1,g2,g3,H_discriminant,G_discriminant_formula,G_degree,G_all_real,H_all_real
599,1467,592062,1796,1074936,214329737,-216159,-140745505483,3,False,False
600,1470,594074,1799,1078530,215405926,-215396,-140527622888,3,False,False
601,1472,596013,1802,1082131,216485788,-217268,-142357267016,3,False,False
602,1475,597819,1805,1085737,217569389,-215651,-141304589584,3,False,False
603,1477,599897,1808,1089350,218656330,-218059,-143666764140,3,False,False
604,1479,601963,1811,1092969,219746901,-220411,-145992896844,3,False,False
605,1482,604009,1814,1096593,220841116,-219712,-145838470976,3,False,False
606,1484,606011,1817,1100224,221939005,-221788,-147906067847,3,False,False
607,1487,607749,1820,1103860,223040794,-219827,-146494655372,3,False,False
608,1489,609850,1823,1107503,224145862,-222279,-148943758947,3,False,False
609,1492,611941,1826,1111151,225254588,-221700,-148912103384,3,False,False
610,1494,614016,1829,1114806,226366984,-224028,-151255890716,3,False,False
611,1497,616062,1832,1118466,227483069,-223239,-151013857651,3,False,False
612,1499,618027,1835,1122133,228602901,-225107,-152906247660,3,False,False
613,1502,619882,1838,1125805,229726515,-223524,-151859754495,3,False,False
614,1504,621996,1841,1129484,230853548,-225968,-154344947504,3,False,False
615,1506,624099,1844,1133169,231984276,-228360,-156796784580,3,False,False
616,1509,626180,1847,1136859,233118716,-227639,-156624403147,3,False,False
617,1511,628214,1850,1140556,234256899,-229735,-158787530691,3,False,False
618,1514,629993,1853,1144258,235399039,-227776,-157337374103,3,False,False
619,1516,632130,1856,1147967,236544529,-230264,-159912523767,3,False,False
620,1519,634258,1859,1151681,237693742,-229671,-159875566299,3,False,False
621,1521,636370,1862,1155402,238846691,-232039,-162345640123,3,False,False
622,1524,638449,1865,1159128,240003399,-231220,-162073963095,3,False,False
623,1526,640438,1868,1162861,241163929,-233076,-164021576183,3,False,False
624,1528,642343,1871,1166600,242328281,-234588,-165616802711,3,False,False
625,1531,644495,1874,1170344,243496130,-234019,-165608805740,3,False,False
626,1533,646634,1877,1174095,244667742,-236447,-168186541107,3,False,False
627,1536,648750,1880,1177851,245843133,-235704,-167995224687,3,False,False
628,1538,650815,1883,1181614,247022337,-237816,-170252379279,3,False,False
629,1541,652636,1886,1185382,248205553,-235863,-168767751875,3,False,False
630,1543,654811,1889,1189157,249392189,-238395,-171481765328,3,False,False
631,1546,656975,1892,1192937,250582616,-237784,-171434885588,3,False,False
632,1548,659123,1895,1196724,251776845,-240188,-174031375671,3,False,False
633,1551,661236,1898,1200516,252974901,-239343,-173732755731,3,False,False
634,1553,663246,1901,1204315,254176858,-241175,-175722842675,3,False,False
635,1555,665205,1904,1208120,255382670,-242795,-177492072620,3,False,False
