m,a,b,N,D_N
5,1,2,21,657975241277876296348280
5,1,2,22,4066184454867377697909600
5,1,2,23,24677023640587891497743130
5,1,2,24,147284044748764270461808551
5,1,2,25,865630423837116748617130170
5,1,2,26,5015545280072633115184110174
5,1,2,27,28678382500119653018776718125
5,1,2,28,161971412469520639332869651304
5,1,2,29,904328225345913286605119072640
5,1,2,30,4995052912894256462074356138464
5,0,1,0,1
5,0,1,1,132
5,0,1,2,4719
5,0,1,3,81796
5,0,1,4,884884
5,0,1,5,6852768
5,0,1,6,41314284
5,0,1,7,204951252
5,0,1,8,869562265
5,0,1,9,3245256300
5,0,1,10,10880587575
5,0,1,11,33309352440
5,0,1,12,94307358288
5,0,1,13,249485071616
5,0,1,14,621856804272
5,0,1,15,1470540624696
5,0,1,16,3318218562009
5,0,1,17,7179339254516
5,0,1,18,14955909351383
5,0,1,19,30104651175324
5,0,1,20,58733021049780
5,0,1,21,111358254207200
5,0,1,22,205671184855500
5,0,1,23,370795221096300
5,0,1,24,653733306903105
5,0,1,25,1128967908544476
5,0,1,26,1912540707229647
5,0,1,27,3182413883184304
5,0,1,28,5207532957946176
5,0,1,29,8388807501195264
5,0,1,30,13316243010735808
5,-4,1,0,1
5,-4,1,1,-36
5,-4,1,2,495
5,-4,1,3,-4004
5,-4,1,4,22932
5,-4,1,5,-102816
5,-4,1,6,383724
5,-4,1,7,-1241460
5,-4,1,8,3581721
5,-4,1,9,-9406540
5,-4,1,10,22837815
5,-4,1,11,-51872184
5,-4,1,12,111260240
5,-4,1,13,-227056896
5,-4,1,14,443584944
5,-4,1,15,-833797368
5,-4,1,16,1514323161
5,-4,1,17,-2666844180
5,-4,1,18,4567885399
5,-4,1,19,-7629616764
5,-4,1,20,12454871220
5,-4,1,21,-19910290400
5,-4,1,22,31222327500
5,-4,1,23,-48101777100
5,-4,1,24,72903575745
5,-4,1,25,-108829837116
5,-4,1,26,160185464271
5,-4,1,27,-232697231920
5,-4,1,28,333908967744
5,-4,1,29,-473667397632
5,-4,1,30,664715370176
6,1,1,0,1
6,1,1,1,561
6,1,1,2,73931
6,1,1,3,4316598
6,1,1,4,148118620
6,1,1,5,3489574428
6,1,1,6,62113595742
6,1,1,7,889875546197
6,1,1,8,10723358640280
6,1,1,9,112213907949000
6,1,1,10,1044315114772995
6,1,1,11,8802894217766532
6,1,1,12,68178766642100752
6,1,1,13,490756482877478928
6,1,1,14,3313594575722037420
6,1,1,15,21147305541579488583
6,1,1,16,128375589859729436991
6,1,1,17,745233946206904854271
6,1,1,18,4155723373915115252206
6,1,1,19,22347182176545139811700
6,1,1,20,116270205925105803401600
6,1,1,21,587003397083632149712000
6,1,1,22,2882954683023017702599500
6,1,1,23,13804658926894066622970150
6,1,1,24,64573979889543875100174825
6,1,1,25,295591027214412860731360329
6,1,1,26,1326180945331074683269046749
6,1,1,27,5839797167610070082518806104
6,1,1,28,25270905937178743833917694912
6,1,1,29,107587917536067337487092511680
6,1,1,30,451098132205168369316466800872
6,2,3,0,1
6,2,3,1,1551
6,2,3,2,556842
6,2,3,3,87499412
6,2,3,4,8000353816
6,2,3,5,498212179464
6,2,3,6,23289335789940
6,2,3,7,871687419020286
6,2,3,8,27326854316164975
6,2,3,9,741381118152128025
6,2,3,10,17837804840717124900
6,2,3,11,387831565812030356016
6,2,3,12,7732811535817305229248
6,2,3,13,143061793501258263565120
6,2,3,14,2479330930755403915132272
6,2,3,15,40566227067993393394781868
6,2,3,16,630719039312710082505990453
6,2,3,17,9369559437746820290681089387
6,2,3,18,133605649358975243493544420766
6,2,3,19,1835999143940667786915250981092
6,2,3,20,24397435674667423198759337298120
6,2,3,21,314431609475480764453848713560600
6,2,3,22,3940414873468027995055140163611300
6,2,3,23,48125843254834266816770035674352410
6,2,3,24,573993585479757751696899901596457251
6,2,3,25,6697328735890853570181725791439309685
6,2,3,26,76568795561736974271864810910384204104
6,2,3,27,858964431434743589907042887448450302912
6,2,3,28,9467314283246757317883091819584389967360
6,2,3,29,102637820219931633538078009015363845130752
6,2,3,30,1095646256427456277911682463690443863662272
6,1,2,0,1
6,1,2,1,990
6,1,2,2,224939
6,1,2,3,22203896
6,1,2,4,1267303284
6,1,2,5,49002694344
6,1,2,6,1415993618556
6,1,2,7,32639970398112
6,1,2,8,628230764849545
6,1,2,9,10437357530864550
6,1,2,10,153451867601978595
6,1,2,11,2035017235935398832
6,1,2,12,24711091585638657232
6,1,2,13,278063484027744751776
6,1,2,14,2927788673535231259248
6,1,2,15,29076517116837778633344
6,1,2,16,274176758718940369554873
6,1,2,17,2468439701272958640473246
6,1,2,18,21319067991609492596822099
6,1,2,19,177345713301995367183959784
6,1,2,20,1425904040995111244222170900
6,1,2,21,11114433913570782419494451400
6,1,2,22,84208483053272327669530638300
6,1,2,23,621584806461969580489192190400
6,1,2,24,4479276651116246000287041460113
6,1,2,25,31569316276683590581111959760902
6,1,2,26,217958353011920475774396190817787
6,1,2,27,1476252118012610893399044599657824
6,1,2,28,9821778900887686838702234223313728
6,1,2,29,64264470361443358829475936723549824
6,1,2,30,413964464786159055493092396891591872
6,0,1,0,1
6,0,1,1,429
6,0,1,2,40898
6,0,1,3,1643356
6,0,1,4,37119160
6,0,1,5,553361016
6,0,1,6,6018114036
6,0,1,7,51067020290
6,0,1,8,354544250775
6,0,1,9,2085445951875
6,0,1,10,10670888978100
6,0,1,11,48482555556240
6,0,1,12,198799911271104
6,0,1,13,745399022720704
6,0,1,14,2583249697382640
6,0,1,15,8348637902014644
6,0,1,16,25350083740894757
6,0,1,17,72778756857842321
6,0,1,18,198627295537238854
6,0,1,19,517731580553810700
6,0,1,20,1294066432578319400
6,0,1,21,3112627711603137000
6,0,1,22,7227079764637414500
6,0,1,23,16242499262512873350
6,0,1,24,35420360123521734075
6,0,1,25,75111211195029926631
6,0,1,26,155185639392657808104
6,0,1,27,312933121961278980928
6,0,1,28,616863524066472224256
