n,relation_mask,points,bases,facets,faces,h
4,2562,28,5,64,350,"[1, 23, 35, 5, 0]"
4,2566,32,6,76,412,"[1, 27, 42, 6, 0]"
4,2568,29,6,70,376,"[1, 24, 39, 6, 0]"
4,2576,29,6,70,376,"[1, 24, 39, 6, 0]"
4,2578,33,10,91,468,"[1, 28, 52, 10, 0]"
4,2582,38,12,109,556,"[1, 33, 63, 12, 0]"
4,2584,33,8,86,452,"[1, 28, 49, 8, 0]"
4,2586,37,12,107,544,"[1, 32, 62, 12, 0]"
4,2616,37,9,98,514,"[1, 32, 56, 9, 0]"
4,2618,42,14,125,632,"[1, 37, 73, 14, 0]"
4,2622,46,16,141,708,"[1, 41, 83, 16, 0]"
4,2624,28,5,64,350,"[1, 23, 35, 5, 0]"
4,2626,32,7,80,426,"[1, 27, 45, 7, 0]"
4,2632,33,10,91,468,"[1, 28, 52, 10, 0]"
4,2648,37,12,107,544,"[1, 32, 62, 12, 0]"
4,2650,41,16,128,636,"[1, 36, 75, 16, 0]"
4,2680,42,14,125,632,"[1, 37, 73, 14, 0]"
4,2682,47,19,152,750,"[1, 42, 90, 19, 0]"
4,2880,32,6,76,412,"[1, 27, 42, 6, 0]"
4,2886,40,10,108,564,"[1, 35, 62, 10, 0]"
4,2888,38,12,109,556,"[1, 33, 63, 12, 0]"
4,2936,46,16,141,708,"[1, 41, 83, 16, 0]"
4,2942,55,25,189,918,"[1, 50, 113, 25, 0]"
4,3072,24,3,48,274,"[1, 19, 25, 3, 0]"
4,3073,29,6,70,376,"[1, 24, 39, 6, 0]"
4,3074,29,6,70,376,"[1, 24, 39, 6, 0]"
4,3075,33,8,86,452,"[1, 28, 49, 8, 0]"
4,3079,37,9,98,514,"[1, 32, 56, 9, 0]"
4,3088,28,5,64,350,"[1, 23, 35, 5, 0]"
4,3090,33,10,91,468,"[1, 28, 52, 10, 0]"
4,3091,37,12,107,544,"[1, 32, 62, 12, 0]"
4,3095,42,14,125,632,"[1, 37, 73, 14, 0]"
4,3120,32,6,76,412,"[1, 27, 42, 6, 0]"
4,3122,38,12,109,556,"[1, 33, 63, 12, 0]"
4,3127,46,16,141,708,"[1, 41, 83, 16, 0]"
4,3200,28,5,64,350,"[1, 23, 35, 5, 0]"
4,3201,33,10,91,468,"[1, 28, 52, 10, 0]"
4,3203,37,12,107,544,"[1, 32, 62, 12, 0]"
4,3207,42,14,125,632,"[1, 37, 73, 14, 0]"
4,3216,32,7,80,426,"[1, 27, 45, 7, 0]"
4,3219,41,16,128,636,"[1, 36, 75, 16, 0]"
4,3223,47,19,152,750,"[1, 42, 90, 19, 0]"
4,3456,32,6,76,412,"[1, 27, 42, 6, 0]"
4,3457,38,12,109,556,"[1, 33, 63, 12, 0]"
4,3463,46,16,141,708,"[1, 41, 83, 16, 0]"
4,3504,40,10,108,564,"[1, 35, 62, 10, 0]"
4,3511,55,25,189,918,"[1, 50, 113, 25, 0]"
4,3584,28,4,60,336,"[1, 23, 32, 4, 0]"
4,3585,33,7,82,438,"[1, 28, 46, 7, 0]"
4,3586,33,7,82,438,"[1, 28, 46, 7, 0]"
4,3587,37,9,98,514,"[1, 32, 56, 9, 0]"
4,3591,41,10,110,576,"[1, 36, 63, 10, 0]"
4,3592,33,7,82,438,"[1, 28, 46, 7, 0]"
4,3593,38,10,104,540,"[1, 33, 60, 10, 0]"
4,3600,33,7,82,438,"[1, 28, 46, 7, 0]"
4,3602,38,12,109,556,"[1, 33, 63, 12, 0]"
4,3603,42,14,125,632,"[1, 37, 73, 14, 0]"
4,3607,47,16,143,720,"[1, 42, 84, 16, 0]"
4,3608,37,9,98,514,"[1, 32, 56, 9, 0]"
4,3610,42,14,125,632,"[1, 37, 73, 14, 0]"
4,3611,46,16,141,708,"[1, 41, 83, 16, 0]"
4,3640,41,10,110,576,"[1, 36, 63, 10, 0]"
4,3642,47,16,143,720,"[1, 42, 84, 16, 0]"
4,3647,55,20,175,872,"[1, 50, 104, 20, 0]"
4,3648,33,7,82,438,"[1, 28, 46, 7, 0]"
4,3650,38,10,104,540,"[1, 33, 60, 10, 0]"
4,3656,38,12,109,556,"[1, 33, 63, 12, 0]"
4,3672,42,14,125,632,"[1, 37, 73, 14, 0]"
4,3674,47,19,152,750,"[1, 42, 90, 19, 0]"
4,3704,47,16,143,720,"[1, 42, 84, 16, 0]"
4,3706,53,22,176,864,"[1, 48, 105, 22, 0]"
4,3712,33,7,82,438,"[1, 28, 46, 7, 0]"
4,3713,38,12,109,556,"[1, 33, 63, 12, 0]"
4,3715,42,14,125,632,"[1, 37, 73, 14, 0]"
4,3719,47,16,143,720,"[1, 42, 84, 16, 0]"
4,3728,38,10,104,540,"[1, 33, 60, 10, 0]"
4,3731,47,19,152,750,"[1, 42, 90, 19, 0]"
